,Summary,Start Time,End Time,Date
54,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/09/28
55,数理逻辑与近世代数,08:00:00,09:45:00,2022/12/09
56,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/09/07
57,共和国重大外交事件评述,18:30:00,20:15:00,2022/08/31
58,数理逻辑与近世代数,08:00:00,09:45:00,2022/12/13
59,毛泽东思想和中国特色社会主义理论体系概论,15:45:00,17:25:00,2022/09/21
60,数据结构与算法,08:00:00,09:45:00,2022/09/07
61,策略思维——带你走进博弈的奇妙世界,13:45:00,17:25:00,2022/09/03
62,项目管理的哲学,18:30:00,20:15:00,2022/10/10
63,数理逻辑与近世代数,13:45:00,15:15:00,2022/12/05
64,数理逻辑与近世代数,13:45:00,15:15:00,2022/12/12
65,数理逻辑与近世代数,08:00:00,09:45:00,2022/11/18
66,毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/09/16
67,需求分析与系统设计,15:45:00,17:25:00,2022/12/01
68,毛泽东思想和中国特色社会主义理论体系概论,13:45:00,15:15:00,2022/09/09
69,基于.Net平台的软件开发(实验),13:45:00,17:25:00,2022/07/12
70,Python程序设计(实验),13:45:00,17:25:00,2022/07/13
71,Python程序设计(实验),13:45:00,17:25:00,2022/07/08
72,Python程序设计,10:00:00,11:45:00,2022/07/06
73,基于.Net平台的软件开发(实验),13:45:00,17:25:00,2022/07/05
74,基于.Net平台的软件开发(实验),13:45:00,17:25:00,2022/07/14
75,基于.Net平台的软件开发,10:00:00,11:45:00,2022/07/14
76,基于.Net平台的软件开发,10:00:00,11:45:00,2022/07/05
77,基于.Net平台的软件开发,10:00:00,11:45:00,2022/07/07
78,基于.Net平台的软件开发,10:00:00,11:45:00,2022/07/12
79,Python程序设计,10:00:00,11:45:00,2022/07/13
80,Python程序设计,10:00:00,11:45:00,2022/07/15
81,Python程序设计(实验),13:45:00,17:25:00,2022/07/15
82,基于.Net平台的软件开发(实验),13:45:00,17:25:00,2022/07/07
83,Python程序设计,10:00:00,11:45:00,2022/07/08
84,Python程序设计(实验),13:45:00,17:25:00,2022/07/06
85,算法设计与分析,13:45:00,15:15:00,2023/02/21
86,软件构造,08:00:00,09:45:00,2023/02/20
87,软件与社会,18:30:00,22:10:00,2023/05/29
88,马克思主义基本原理,13:45:00,15:15:00,2023/03/15
89,软件与社会,18:30:00,22:10:00,2023/06/05
90,软件与社会,18:30:00,22:10:00,2023/05/15
91,翻译实践(提高),10:00:00,11:45:00,2023/02/21
92,软件过程与项目管理,13:45:00,15:15:00,2023/04/18
93,移动互联网应用开发实践,08:00:00,11:45:00,2023/04/08
94,移动互联网应用开发实践,08:00:00,11:45:00,2023/04/01
95,Web开发技术(实验),15:45:00,17:25:00,2023/03/09
96,算法设计与分析,08:00:00,09:45:00,2023/02/23
97,形式语言与自动机,10:00:00,11:45:00,2023/02/20
98,形式语言与自动机,10:00:00,11:45:00,2023/02/23
99,计算机组成原理(实验),08:00:00,11:45:00,2023/06/02
100,管理沟通,18:30:00,22:10:00,2023/04/03
101,管理沟通,18:30:00,22:10:00,2023/03/06
102,移动互联网应用开发实践,08:00:00,11:45:00,2023/03/25
103,体育,13:45:00,15:15:00,2023/03/09
104,软件过程与项目管理,10:00:00,11:45:00,2023/05/25
105,形势与政策（2）,15:45:00,17:25:00,2023/04/21
106,移动互联网应用开发实践,08:00:00,11:45:00,2023/04/22
107,管理沟通,18:30:00,22:10:00,2023/02/27
108,计算机组成原理,15:45:00,17:25:00,2023/04/05
109,软件过程与项目管理,10:00:00,11:45:00,2023/04/27
110,软件与社会,18:30:00,22:10:00,2023/05/01
111,软件构造,08:00:00,09:45:00,2023/02/22
112,管理沟通,18:30:00,22:10:00,2023/03/13
113,移动互联网应用开发实践,08:00:00,11:45:00,2023/04/29
114,管理沟通,18:30:00,22:10:00,2023/03/20
115,移动互联网应用开发实践,08:00:00,11:45:00,2023/04/15
116,马克思主义基本原理,13:45:00,15:15:00,2023/03/13
117,身边的营养学,18:30:00,22:10:00,2023/03/14
118,马克思主义基本原理(实验),18:30:00,20:15:00,2023/03/29
119,软件过程与项目管理(实验),10:00:00,11:45:00,2023/05/28
120,移动互联网应用开发实践,08:00:00,11:45:00,2023/03/11
121,身边的营养学,18:30:00,22:10:00,2023/03/23
122,身边的营养学,18:30:00,22:10:00,2023/03/16
123,计算机组成原理,08:00:00,09:45:00,2023/04/04
124,软件过程与项目管理,10:00:00,11:45:00,2023/06/08
125,计算机组成原理,10:00:00,11:45:00,2023/04/07
126,软件构造(实验),15:45:00,17:25:00,2023/03/07
127,软件与社会,18:30:00,22:10:00,2023/05/08
128,Web开发技术,15:45:00,17:25:00,2023/02/20
129,身边的营养学,18:30:00,22:10:00,2023/03/21
130,Web开发技术,10:00:00,11:45:00,2023/02/22
131,形势与政策（2）,10:00:00,11:45:00,2023/04/17
132,移动互联网应用开发实践,08:00:00,11:45:00,2023/03/18
133,软件与社会,18:30:00,22:10:00,2023/05/22
134,体育理论,13:45:00,15:15:00,2023/02/23
135,软件过程与项目管理,10:00:00,11:45:00,2023/05/11
136,管理沟通,18:30:00,22:10:00,2023/03/27
