交易额,商户名称,交易日期,交易时间,星期,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳
26,美食林阿咪酱骨扒肉,2023/3/27,11:45,1,0,10,749.3,762,19,4,0,1679888700
12,民族餐厅金家店,2023/3/24,19:18,5,0,-1,754,767.3,47,1,0,1679656680
32,阳光副食三组,2023/3/23,17:34,4,0,-1,749.6,762.8,37,5,0,1679564040
26,美食林阿咪酱骨扒肉,2023/3/22,17:27,3,0,6,741.9,754.6,26,10,1,1679477220
28,学院食堂陕西名小吃,2023/3/21,17:22,2,0,14,739.3,751.6,39,5,0,1679390520
3.7,学苑食堂副食三组,2023/3/21,7:49,2,0,7,739.7,752.3,71,6,1,1679356140
12.8,阳光小是小简餐,2023/3/20,17:28,1,0,14,740,752.3,39,6,0,1679304480
14,美食林那小味面馆,2023/3/19,18:25,7,1,8,743.5,756.2,21,4,0,1679221500
15.6,紫丁香餐吧机器人收银组,2023/3/19,11:56,7,1,14,746.6,759,20,6,0,1679198160
11.1,美食林小猪憨尼麻辣烫,2023/3/17,17:11,5,0,5,749.9,762.8,28,7,0,1679044260
6,学苑食堂副食三组,2023/3/16,11:50,4,0,-1,754,767.3,64,7,0,1678938600
10,学苑食堂包子,2023/3/15,17:31,3,0,-3,749.5,762.8,80,4,0,1678872660
19.4,紫丁香餐吧机器人收银组,2023/3/15,11:58,3,0,-1,746.6,759.7,69,8,0,1678852680
3.6,学苑食堂副食三组,2023/3/15,7:56,3,0,-4,744.9,758.2,100,5,1,1678838160
32,美食林肠粉,2023/3/14,17:20,2,0,1,742.4,755.4,51,5,0,1678785600
6.7,学苑食堂副食三组,2023/3/14,7:50,2,0,-4,745.7,759,54,3,0,1678751400
32,美食林肠粉,2023/3/13,11:52,1,0,0,748.1,761.2,25,3,0,1678679520
29.14,淘乐水果捞店,2023/3/12,15:22,7,1,-2,753.3,766.6,34,5,0,1678605720
14,美食林阿咪酱骨扒肉,2023/3/12,12:45,7,1,-2,754,767.3,34,4,0,1678596300
17.9,紫丁香餐吧机器人收银组,2023/3/11,12:25,6,1,3,757.3,770.4,17,9,0,1678508700
9.72,淘乐水果捞店,2023/3/10,22:27,5,0,6,749.1,762,39,9,0,1678458420
10.5,学苑食堂副食三组,2023/3/10,17:41,5,0,12,742.1,754.6,47,6,0,1678441260
10,学院食堂陕西名小吃,2023/3/10,11:22,5,0,10,745.1,757.7,40,5,0,1678418520
13,美食林阿咪酱骨扒肉,2023/3/9,11:46,4,0,9,744.3,756.9,37,4,0,1678333560
9.82,淘乐水果捞店,2023/3/8,21:58,3,0,-2,747.3,760.5,80,2,0,1678283880
12.73,美食林小猪憨尼麻辣烫,2023/3/8,17:27,3,0,2,750.4,763.5,65,3,0,1678267620
25,学苑食堂副食三组,2023/3/7,17:24,2,0,4,741.8,754.6,65,7,1,1678181040
12,美食林老上客砂锅,2023/3/7,11:15,2,0,5,742.6,755.4,76,5,1,1678158900
10,学院食堂陕西名小吃,2023/3/5,12:13,7,1,11,747.9,760.5,47,11,0,1677989580
5.1,学苑食堂副食三组,2023/3/4,17:55,6,1,4,755.8,768.9,48,3,0,1677923700
10,学院食堂陕西名小吃,2023/3/4,17:26,6,1,7,756,768.9,37,3,0,1677921960
31,美食林东农豆坊,2023/3/4,14:56,6,1,9,756.8,769.6,32,5,0,1677912960
11,美食林榆林镇筋饼,2023/3/4,11:43,6,1,7,757.5,770.4,37,5,0,1677901380
16,美食林肠粉,2023/3/3,11:37,5,0,1,754.9,768.1,48,2,0,1677814620
12,民族餐厅金家店,2023/3/2,11:51,4,0,-4,750.1,763.5,63,9,0,1677729060
5,学苑食堂包子,2023/3/2,9:22,4,0,-7,752.3,765.8,73,6,0,1677720120
13,美食林蜀香麻辣烫(川香麻辣烫),2023/3/1,17:04,3,0,-4,752.4,765.8,86,5,0,1677661440
4.2,学苑食堂副食三组,2023/3/1,7:42,3,0,-5,749.4,762.8,93,3,1,1677627720
26,美食林阿咪酱骨扒肉,2023/2/28,17:26,2,0,0,752.6,765.8,60,3,0,1677576360
28,学苑食堂副食三组,2023/2/28,11:51,2,0,0,751.1,764.3,69,7,0,1677556260
3.7,学苑食堂副食三组,2023/2/28,7:52,2,0,-3,747.9,761.2,80,7,0,1677541920
6.18,淘乐水果捞店,2023/2/27,21:33,1,0,5,746.2,759,53,8,1,1677504780
24.4,紫丁香餐吧机器人收银组,2023/2/27,11:57,1,0,8,750,762.8,37,11,1,1677470220
14,美食林那小味面馆,2023/2/26,11:31,7,1,3,759.5,772.7,41,5,0,1677382260
9.9,淘乐水果捞店,2023/2/25,18:18,6,1,-2,759.3,772.7,51,3,0,1677320280
19.4,紫丁香餐吧机器人收银组,2023/2/25,17:54,6,1,-2,759.3,772.7,51,3,0,1677318840
26.53,淘乐水果捞店,2023/2/25,13:30,6,1,-1,759.3,772.7,43,6,0,1677303000
17,民族餐厅铁板料理,2023/2/24,11:36,5,0,-5,757.6,771.1,63,6,0,1677209760
26,美食林阿咪酱骨扒肉,2023/2/23,11:50,4,0,-3,752.5,765.8,59,4,0,1677124200
13.8,阳光副食二组,2023/2/22,17:06,3,0,-2,751.7,765,59,3,0,1677056760
19.6,紫丁香餐吧机器人收银组,2023/2/22,11:55,3,0,-3,753.2,766.6,64,6,0,1677038100
4.7,学苑食堂副食三组,2023/2/22,7:47,3,0,-9,753.6,767.3,57,5,0,1677023220
26,美食林阿咪酱骨扒肉,2023/2/21,11:44,2,0,-7,762.5,776.2,49,5,0,1676951040
21,美食林阿咪酱骨扒肉,2023/2/20,17:22,1,0,-9,758.9,772.7,62,3,0,1676884920
19.4,紫丁香餐吧机器人收银组,2023/2/20,11:57,1,0,-8,755.9,769.6,68,4,0,1676865420
14.39,淘乐水果捞店,2023/2/19,19:18,7,1,-11,749.1,762.8,67,2,0,1676805480
11,民族餐厅山西饸饹面,2023/2/19,18:46,7,1,-11,749.1,762.8,67,2,0,1676803560
14,学苑食堂副食一组,2023/2/17,11:10,5,0,-8,752.2,765.8,68,4,0,1676603400
9,美食林阿咪酱骨扒肉,2023/2/16,18:05,4,0,-7,750.8,764.3,68,4,0,1676541900
12,美食林阿咪酱骨扒肉,2023/2/16,11:42,4,0,-7,753,766.6,58,4,0,1676518920
14,学苑食堂副食一组,2023/2/15,17:48,3,0,-13,759.9,773.9,61,3,0,1676454480
14,美食林老上客砂锅,2023/2/15,11:15,3,0,-12,763,777,56,2,0,1676430900
10.5,学苑食堂包子,2023/2/14,17:32,2,0,-14,762.1,776.2,66,3,0,1676367120
16.4,紫丁香餐吧机器人收银组,2023/2/14,11:11,2,0,-11,760.8,774.7,62,6,0,1676344260
13,学苑食堂铁锅焖面,2023/2/13,17:29,1,0,-9,755.2,768.9,62,4,0,1676280540
17.4,紫丁香餐吧机器人收银组,2023/2/13,11:06,1,0,-12,756.5,770.4,79,4,1,1676257560
14,民族餐厅金家店,2023/2/12,16:42,7,1,-9,758.1,771.9,73,3,0,1676191320
15.98,美食林小猪憨尼麻辣烫,2023/2/12,11:24,7,1,-11,759.5,773.4,79,2,1,1676172240
12,美食林老上客砂锅,2023/2/11,11:21,6,1,-3,747.9,761.2,80,5,1,1676085660
12,学苑食堂香恋香拌砂锅,2023/2/10,11:29,5,0,-3,748.7,762,93,5,1,1675999740
8,学苑食堂副食三组,2023/2/9,17:34,4,0,-7,754.5,768.1,63,2,0,1675935240
28,学苑食堂香恋香拌砂锅,2023/2/8,17:21,3,0,-8,756.7,770.4,58,2,0,1675848060
14,美食林老上客砂锅,2022/12/3,18:06,6,1,-18,753.9,768.1,65,2,0,1670061960
6,民族餐厅德澳士,2022/12/3,14:02,6,1,-13,754.2,768.1,47,7,0,1670047320
11,民族餐厅山西饸饹面,2022/12/3,13:54,6,1,-13,754.2,768.1,47,7,0,1670046840
13,民族餐厅金家店,2022/12/2,19:32,5,0,-12,748.3,762,61,4,0,1669980720
8,学苑食堂包子,2022/12/2,12:09,5,0,-9,750.7,764.3,53,8,0,1669954140
11,美食林老上客砂锅,2022/12/1,18:54,4,0,-20,754.6,768.9,65,3,0,1669892040
7,学苑食堂副食三组,2022/12/1,12:36,4,0,-14,754.9,768.9,51,6,0,1669869360
13,民族餐厅金家店,2022/11/30,18:06,3,0,-19,754.7,768.9,65,4,0,1669802760
15,学苑食堂香恋香拌砂锅,2022/11/30,12:35,3,0,-15,754.1,768.1,51,9,0,1669782900
11,学苑食堂包子,2022/11/29,12:11,2,0,-12,749.7,763.5,85,9,1,1669695060
8,美食林真牛铁板,2022/11/28,16:51,1,0,-9,749.9,763.5,86,5,0,1669625460
12,美食林老上客砂锅,2022/11/28,16:39,1,0,-9,749.9,763.5,86,5,0,1669624740
10,学苑食堂副食三组,2022/11/28,12:11,1,0,-6,750.8,764.3,80,6,0,1669608660
12.24,阳光副食二组,2022/11/26,17:18,6,1,-10,749.8,763.5,67,3,0,1669454280
14.65,美食林小猪憨尼麻辣烫,2022/11/25,17:38,5,0,-4,739.9,753.1,93,6,1,1669369080
11,学苑食堂包子,2022/11/25,12:11,5,0,0,739.3,752.3,87,4,1,1669349460
17,学苑食堂香恋香拌砂锅,2022/11/24,18:32,4,0,0,745.1,758.2,93,4,1,1669285920
15,阳光川蜀源烤鱼,2022/11/24,12:13,4,0,1,748.1,761.2,56,4,0,1669263180
10,学院食堂陕西名小吃,2022/11/23,18:50,3,0,-6,752.3,765.8,74,2,0,1669200600
10,学苑食堂副食三组,2022/11/23,11:59,3,0,-1,751.1,764.3,64,3,0,1669175940
10,学院食堂陕西名小吃,2022/11/22,18:46,2,0,-6,753.8,767.3,74,2,0,1669113960
12,美食林陕西刀削面(川无界),2022/11/22,11:58,2,0,0,755.6,768.9,55,2,0,1669089480
12,美食林老上客砂锅,2022/11/21,17:13,1,0,-5,754.6,768.1,58,3,0,1669021980
8,学苑食堂包子,2022/11/21,12:06,1,0,-2,754.8,768.1,43,4,0,1669003560
8,学苑食堂重庆小面,2022/11/20,17:37,7,1,-5,752.4,765.8,63,4,0,1668937020
19,学苑食堂香恋香拌砂锅,2022/11/19,18:15,6,1,5,745.4,758.2,93,8,1,1668852900
11.64,阳光副食二组,2022/11/19,11:29,6,1,5,748.3,761.2,57,7,0,1668828540
12,美食林老上客砂锅,2022/11/18,16:48,5,0,-1,757.8,771.1,80,3,0,1668761280
10,学苑食堂副食三组,2022/11/18,11:25,5,0,4,758,771.1,56,1,0,1668741900
11,学苑食堂包子,2022/11/17,17:00,4,0,2,748.2,761.2,81,4,0,1668675600
10.6,百味佳主食二组,2022/11/17,11:48,4,0,3,749,762,65,5,0,1668656880
12,美食林老上客砂锅,2022/11/16,18:06,3,0,-4,749.5,762.8,86,1,0,1668593160
15,阳光川蜀源烤鱼,2022/11/16,12:13,3,0,2,748.2,761.2,60,3,0,1668571980
10,学院食堂陕西名小吃,2022/11/15,16:59,2,0,-5,747.2,760.5,93,2,1,1668502740
18,学苑食堂香恋香拌砂锅,2022/11/15,12:14,2,0,-1,747.3,760.5,80,4,0,1668485640
12.28,美食林小猪憨尼麻辣烫,2022/11/14,17:23,1,0,-4,747.2,760.5,80,2,1,1668417780
13,民族餐厅金家店,2022/11/14,12:05,1,0,-3,747.3,760.5,69,4,0,1668398700
18,学苑食堂香恋香拌砂锅,2022/11/13,11:26,7,1,-2,756.2,769.6,59,3,0,1668309960
12,民族餐厅金家店,2022/11/12,12:03,6,1,0,752.6,765.8,75,6,0,1668225780
13.56,阳光副食二组,2022/11/11,17:40,5,0,8,750.7,763.5,82,5,1,1668159600
2.2,学苑食堂副食三组,2022/11/11,8:00,5,0,4,752,765,75,4,1,1668124800
12,美食林老上客砂锅,2022/11/10,18:16,4,0,1,757.2,770.4,44,2,0,1668075360
11,学苑食堂包子,2022/11/10,11:40,4,0,7,758.1,771.1,27,4,0,1668051600
13.8,阳光川蜀源烤鱼,2022/11/9,17:21,3,0,5,751.4,764.3,57,2,0,1667985660
10.75,学苑食堂副食三组,2022/11/9,12:01,3,0,10,749.3,762,47,4,0,1667966460
10.68,阳光副食二组,2022/11/8,17:26,2,0,6,749.1,762,49,3,0,1667899560
20.25,学苑食堂包子,2022/11/8,11:42,2,0,8,750.7,763.5,46,6,0,1667878920
2.6,学苑食堂包子,2022/11/8,7:51,2,0,-1,751.1,764.3,80,3,0,1667865060
13,阳光川蜀源烤鱼,2022/11/7,17:50,1,0,0,751.8,765,69,4,0,1667814600
16,学苑食堂副食三组,2022/11/7,11:39,1,0,7,751.5,764.3,46,5,0,1667792340
16.1,百味佳主食二组,2022/11/6,17:34,7,1,2,750.4,763.5,56,3,0,1667727240
8,学苑食堂包子,2022/11/6,11:46,7,1,8,752.2,765,40,3,0,1667706360
12,学苑食堂香恋香拌砂锅,2022/11/5,17:59,6,1,0,753.4,766.6,60,2,0,1667642340
13,美食林90后串炒饭,2022/11/5,11:33,6,1,4,751.3,764.3,48,4,0,1667619180
11.16,阳光副食二组,2022/11/4,17:43,5,0,-3,751.7,765,64,3,0,1667554980
9,学苑食堂副食三组,2022/11/4,11:59,5,0,1,752.7,765.8,38,6,0,1667534340
13.8,阳光川蜀源烤鱼,2022/11/3,18:07,4,0,-5,752.4,765.8,63,3,0,1667470020
15,民族餐厅金家店,2022/11/3,12:30,4,0,0,752.6,765.8,37,7,0,1667449800
8,学苑食堂包子,2022/11/2,17:47,3,0,-2,752.5,765.8,43,3,0,1667382420
12,阳光萌锅蒸饭,2022/11/2,12:04,3,0,2,751.9,765,30,7,0,1667361840
12.29,阳光副食二组,2022/11/1,12:05,2,0,5,751.4,764.3,42,9,0,1667275500
7,学苑食堂包子,2022/10/31,18:17,1,0,6,749.1,762,66,5,0,1667211420
15,阳光川蜀源烤鱼,2022/10/31,12:12,1,0,10,747.9,760.5,94,8,1,1667189520
9.77,友来小猪憨尼麻辣烫,2022/10/30,18:04,7,1,8,753,765.8,53,3,0,1667124240
17.4,紫丁香餐吧机器人收银组,2022/10/28,17:37,5,0,-1,760.5,773.9,69,0,0,1666949820
16,学苑食堂副食三组,2022/10/28,11:48,5,0,6,761.6,774.7,39,2,0,1666928880
3.2,学苑食堂副食三组,2022/10/28,7:58,5,0,-1,762.1,775.5,80,1,0,1666915080
43,紫丁香餐吧主食一组,2022/10/27,17:22,4,0,3,761.5,774.7,52,3,0,1666862520
6,紫丁香餐吧主食一组,2022/10/27,11:44,4,0,5,761.6,774.7,49,6,0,1666842240
11.4,紫丁香餐吧机器人收银组,2022/10/27,11:40,4,0,5,761.6,774.7,49,6,0,1666842000
15,民族餐厅金家店,2022/10/26,17:24,3,0,4,755.1,768.1,87,7,0,1666776240
12.6,紫丁香餐吧机器人收银组,2022/10/26,11:52,3,0,8,750.7,763.5,93,5,1,1666756320
14.21,美食林小猪憨尼麻辣烫,2022/10/25,17:30,2,0,10,750.1,762.8,54,3,0,1666690200
13,民族餐厅铁板料理,2022/10/25,11:37,2,0,13,751.7,764.3,44,7,0,1666669020
2.5,学苑食堂副食三组,2022/10/25,7:58,2,0,3,754.2,767.3,65,5,0,1666655880
13,学苑食堂香恋香拌砂锅,2022/10/24,17:18,1,0,5,755.9,768.9,45,2,0,1666603080
30,阳光川蜀源烤鱼,2022/10/24,11:37,1,0,8,756,768.9,40,2,0,1666582620
13.8,阳光小是小简餐,2022/10/23,17:22,7,1,5,753.6,766.6,49,5,0,1666516920
18.9,紫丁香餐吧机器人收银组,2022/10/23,11:29,7,1,7,752.9,765.8,61,5,0,1666495740
13,学苑食堂香恋香拌砂锅,2022/10/22,12:42,6,1,9,753.8,766.6,43,4,0,1666413720
24,美食林陕西刀削面(罐罐面),2022/10/21,17:34,5,0,7,750.7,763.5,81,4,0,1666344840
2.7,友来副食一组,2022/10/20,7:53,4,0,8,753,765.8,66,2,0,1666223580
10,阳光川蜀源烤鱼,2022/10/19,17:21,3,0,11,747.9,760.5,41,3,0,1666171260
11.3,学苑食堂副食三组,2022/10/19,11:54,3,0,13,750.9,763.5,33,7,0,1666151640
13.5,紫丁香餐吧机器人收银组,2022/10/18,17:30,2,0,4,752.8,765.8,45,3,0,1666085400
26.6,美食林海南鸡饭,2022/10/18,11:49,2,0,8,753,765.8,40,3,0,1666064940
3.5,友来副食一组,2022/10/18,7:55,2,0,2,752.7,765.8,70,2,0,1666050900
13,阳光川蜀源烤鱼,2022/10/17,17:45,1,0,6,752.9,765.8,53,2,0,1665999900
12,学苑食堂副食三组,2022/10/17,11:38,1,0,7,752.1,765,53,6,0,1665977880
14.59,阳光副食二组,2022/10/16,17:52,7,1,8,750.7,763.5,43,4,0,1665913920
6,学苑食堂主食二组,2022/10/16,11:35,7,1,11,751.6,764.3,35,8,0,1665891300
7.2,学苑食堂副食三组,2022/10/16,11:34,7,1,11,751.6,764.3,35,8,0,1665891240
11,学苑食堂重庆小面,2022/10/15,17:02,6,1,13,750.9,763.5,36,2,0,1665824520
10.2,学苑食堂副食三组,2022/10/15,11:47,6,1,16,751.9,764.3,34,2,0,1665805620
10.5,学苑食堂副食三组,2022/10/14,17:59,5,0,11,749.4,762,82,2,1,1665741540
6,学苑食堂副食三组,2022/10/14,17:53,5,0,11,749.4,762,82,2,1,1665741180
2.6,友来副食一组,2022/10/14,7:55,5,0,8,752.2,765,93,1,1,1665705300
14.21,阳光副食二组,2022/10/12,17:30,3,0,12,752.4,765,44,3,0,1665567000
10.7,学苑食堂副食三组,2022/10/11,17:30,2,0,9,751.5,764.3,50,4,0,1665480600
27.6,美食林海南鸡饭,2022/10/11,11:38,2,0,13,750.9,763.5,36,5,0,1665459480
2.7,友来副食一组,2022/10/11,7:55,2,0,4,750.5,763.5,70,3,0,1665446100
26,学苑食堂香恋香拌砂锅,2022/10/10,11:29,1,0,8,747.8,760.5,76,8,0,1665372540
8,学苑食堂包子,2022/10/9,16:59,7,0,6,749.1,762,100,6,1,1665305940
15,阳光川蜀源烤鱼,2022/10/8,16:49,6,0,9,750.8,763.5,71,5,1,1665218940
7,学苑食堂副食三组,2022/10/7,17:43,5,1,7,752.1,765,53,2,0,1665135780
15.31,阳光副食二组,2022/10/7,11:38,5,1,11,752.3,765,41,2,0,1665113880
4.7,友来副食一组,2022/10/7,7:55,5,1,5,753.6,766.6,61,2,0,1665100500
7.4,友来副食一组,2022/10/5,7:56,3,1,2,755,768.1,70,5,0,1664927760
13.25,阳光副食二组,2022/10/4,17:20,2,1,6,755.9,768.9,39,3,0,1664875200
28.6,美食林海南鸡饭,2022/10/4,11:39,2,1,8,756,768.9,29,8,0,1664854740
4.7,友来副食一组,2022/10/4,7:56,2,1,3,755.8,768.9,65,4,0,1664841360
17.3,民族餐厅旋转小火锅,2022/10/3,18:20,1,1,5,753.6,766.6,87,2,0,1664792400
12,民族餐厅旋转小火锅,2022/10/3,17:26,1,1,6,753.7,766.6,81,4,0,1664789160
14,学苑食堂副食三组,2022/10/3,11:19,1,1,8,750.7,763.5,93,6,1,1664767140
25.4,紫丁香餐吧机器人收银组,2022/10/2,10:59,7,1,17,748.8,761.2,88,4,1,1664679540
16.43,美食林小猪憨尼麻辣烫,2022/10/1,17:56,6,1,9,752.2,765,82,1,0,1664618160
21.4,紫丁香餐吧机器人收银组,2022/10/1,10:59,6,1,8,753,765.8,82,4,0,1664593140
4.7,友来副食一组,2022/9/30,7:55,5,0,17,743.1,755.4,88,5,1,1664495700
14.8,美食林海南鸡饭,2022/9/29,11:59,4,0,24,742.6,754.6,57,7,0,1664423940
16.4,紫丁香餐吧机器人收银组,2022/9/28,17:44,3,0,17,745.4,757.7,73,4,0,1664358240
4.7,友来副食一组,2022/9/28,7:52,3,0,18,743.2,755.4,78,5,0,1664322720
8,学苑食堂副食三组,2022/9/27,17:33,2,0,21,744.8,756.9,60,3,0,1664271180
34,民族餐厅铁板料理,2022/9/27,11:26,2,0,23,748.4,760.5,57,5,0,1664249160
12.48,阳光副食二组,2022/9/26,11:13,1,0,17,750.4,762.8,32,3,0,1664161980
13,阳光萌锅蒸饭,2022/9/24,17:40,6,1,13,746.5,759,67,2,0,1664012400
15.74,阳光副食二组,2022/9/23,17:41,5,0,13,742.2,754.6,88,4,1,1663926060
15.4,紫丁香餐吧机器人收银组,2022/9/22,17:13,4,0,17,742.4,754.6,77,2,0,1663837980
18.6,紫丁香餐吧机器人收银组,2022/9/21,17:42,3,0,20,742.5,754.6,43,5,0,1663753320
4.7,友来副食一组,2022/9/21,7:49,3,0,14,745.3,757.7,55,7,0,1663717740
17.04,阳光副食二组,2022/9/20,17:20,2,0,16,747.3,759.7,34,4,0,1663665600
4.2,友来副食一组,2022/9/19,7:48,1,0,12,747.9,760.5,63,4,0,1663544880
25.58,阳光副食二组,2022/9/16,17:30,5,0,19,744,756.2,73,3,0,1663320600
8,学苑食堂重庆小面,2022/9/15,18:07,4,0,18,748.9,761.2,83,2,0,1663236420
18,学苑食堂副食三组,2022/9/14,17:24,3,0,22,752.8,765,69,1,0,1663147440
26.16,阳光副食二组,2022/9/13,11:33,2,0,20,755.8,768.1,46,5,0,1663039980
12.96,学子副食一组,2022/9/12,11:13,1,1,27,747.8,759.7,58,6,0,1662952380
19,紫丁香餐吧机器人收银组,2022/9/11,12:00,7,1,28,748.6,760.5,55,4,0,1662868800
10,学苑食堂副食三组,2022/9/10,18:09,6,1,22,749.8,762,78,2,0,1662804540
17,民族餐厅铁板料理,2022/9/10,13:26,6,1,28,751.6,763.5,42,2,0,1662787560
27.6,美食林海南鸡饭,2022/9/9,17:14,5,0,26,753,765,45,1,0,1662714840
20,学苑食堂副食三组,2022/9/9,11:33,5,0,27,753.8,765.8,32,2,0,1662694380
10,学苑食堂副食三组,2022/9/6,17:30,2,0,13,738.4,750.8,94,1,0,1662456600
42,美食林阿咪酱骨扒肉,2022/9/6,11:23,2,0,19,739.5,751.6,56,3,0,1662434580
10,美食林九旦西北小吃,2022/9/5,11:17,1,0,18,741.7,753.9,100,4,1,1662347820
21,学苑食堂副食三组,2022/9/4,17:52,7,1,18,743.2,755.4,100,3,1,1662285120
14.4,回味斋一餐厅副食一组,2022/9/4,12:11,7,1,22,744.8,756.9,73,4,0,1662264660
17,民族餐厅铁板料理,2022/9/3,17:59,6,1,22,747.6,759.7,69,2,0,1662199140
11.2,百味佳主食二组,2022/9/3,11:41,6,1,26,749.2,761.2,48,3,0,1662176460
25.18,阳光副食二组,2022/9/2,17:19,5,0,24,749.1,761.2,50,3,0,1662110340
20,美食林九旦西北小吃,2022/9/2,11:16,5,0,24,750.7,762.8,47,6,0,1662088560
15.8,美食林海南鸡饭,2022/9/2,11:12,5,0,24,750.7,762.8,47,6,0,1662088320
3,友来副食一组,2022/9/2,7:49,5,0,18,751.1,763.5,60,5,0,1662076140
19,一区饺子园主食一组,2022/8/31,16:59,3,0,25,742.7,754.6,61,4,0,1661936340
36.53,阳光副食二组,2022/8/30,11:31,2,0,21,746.8,759,69,2,0,1661830260
