amount,merchant_name,time,date
20.6,阳光小是小简餐,17:46,2023-2-20
10.0,民族餐厅铁板料理,17:35,2022-9-9
15.6,民族餐厅金家店,7:38,2023-4-10
18.0,美食林90后串炒饭,11:34,2022-11-16
12.0,美食林蜀香麻辣烫(川香麻辣烫),17:20,2022-9-22
15.0,民族餐厅金家店,16:47,2023-4-11
12.4,百味佳副食一组,11:42,2022-11-12
5.5,百味佳副食一组,8:56,2023-2-23
2.6,友来副食一组,7:53,2022-8-24
8.25,百味佳展销组,7:43,2023-1-6
13.4,美食林九旦西北小吃,17:55,2022-11-23
4.35,友来副食一组,7:45,2022-9-4
25.3,百味佳副食一组,11:59,2022-9-24
12.63,紫丁香餐吧机器人收银组,18:04,2023-0-1
4.0,百味佳副食一组,8:43,2023-3-21
5.35,友来副食一组,7:56,2022-11-17
15.75,阳光小是小简餐,8:44,2022-9-14
14.26,百味佳副食一组,7:26,2023-2-22
10.0,学苑食堂包子,17:33,2023-4-19
12.4,回味斋一餐厅副食一组,11:40,2022-10-29
10.2,美食林阿咪酱骨扒肉,18:19,2022-10-11
11.18,百味佳副食二组,11:21,2022-8-12
22.0,民族餐厅旋转小火锅,17:38,2022-7-29
3.1,学苑食堂副食一组,8:51,2022-8-29
3.2,百味佳副食一组,11:49,2023-4-11
11.87,百味佳展销组,17:42,2022-10-12
12.0,阳光广式猪脚饭,12:30,2023-3-22
4.1,友来副食一组,9:07,2022-9-14
13.4,学苑食堂副食三组,11:50,2022-9-12
4.7,美食林小猪憨尼麻辣烫,8:48,2023-4-20
10.05,百味佳副食一组,11:42,2022-11-17
9.4,百味佳副食一组,11:51,2022-9-10
11.0,美食林陕西刀削面(罐罐面),11:31,2022-9-26
13.0,民族餐厅金家店,17:39,2022-10-1
13.2,美食林小猪憨尼麻辣烫,17:31,2022-9-6
16.0,学苑食堂香恋香拌砂锅,18:12,2022-8-28
10.0,美食林川蜀源烤鱼,11:49,2023-2-23
9.7,学苑食堂副食一组,10:58,2023-4-19
5.0,美食林东农豆坊,8:09,2022-8-12
5.35,友来副食一组,7:44,2022-9-17
22.88,百味佳副食一组,10:54,2022-11-17
4.1,百味佳副食一组,7:58,2023-3-20
3.35,友来副食一组,7:33,2022-10-16
13.0,学苑食堂铁锅焖面,17:41,2023-2-13
11.2,一区饺子园凉菜组,7:10,2022-8-28
3.5,友来副食一组,7:31,2022-8-26
5.35,友来副食一组,7:50,2022-10-7
3.85,友来副食一组,7:13,2022-8-17
10.0,美食林90后串炒饭,17:39,2022-9-30
14.0,美食林那小味面馆,17:34,2022-9-26
3.1,百味佳副食一组,8:39,2023-3-8
8.26,百味佳副食一组,8:32,2022-11-4
10.0,民族餐厅铁板料理,17:56,2023-3-12
15.0,美食林陕西刀削面(罐罐面),17:50,2022-7-3
15.0,美食林东农豆坊,17:49,2023-3-12
12.0,百味佳副食一组,12:16,2022-11-9
18.8,百味佳副食一组,11:19,2023-3-20
12.0,学苑食堂重庆小面,11:36,2023-3-15
14.0,美食林老上客砂锅,17:32,2023-3-19
11.2,美食林老上客砂锅,11:53,2023-4-4
5.25,友来副食一组,8:15,2022-9-29
13.0,民族餐厅金家店,11:12,2022-9-8
10.4,民族餐厅山西饸饹面,17:17,2022-11-4
4.05,美食林90后串炒饭,17:42,2022-10-5
3.5,学苑食堂副食三组,7:32,2023-3-4
4.85,友来副食一组,7:30,2022-9-3
4.35,友来副食一组,7:19,2022-9-7
27.0,阳光广式猪脚饭,18:15,2023-3-18
13.0,学苑食堂包子,11:52,2022-8-17
5.75,友来副食一组,7:55,2022-9-30
28.4,百味佳展销组,11:57,2022-11-10
15.0,民族餐厅铁板料理,16:37,2023-3-28
4.1,百味佳副食一组,8:28,2023-3-10
11.6,紫丁香餐吧机器人收银组,18:03,2023-2-2
2.95,友来副食一组,7:08,2022-10-13
5.5,百味佳展销组,7:46,2022-10-7
5.6,百味佳副食一组,7:47,2023-3-30
11.5,友来朝鲜风味,18:19,2022-9-8
15.0,美食林真牛铁板,17:06,2022-8-24
13.0,友来朝鲜风味,10:54,2022-9-16
4.15,百味佳副食一组,9:12,2023-1-17
16.0,美食林老上客砂锅,17:55,2023-3-17
4.15,回味斋一餐厅副食一组,7:20,2022-10-2
2.44,美食林陕西刀削面(罐罐面),17:26,2023-1-18
23.0,学苑食堂香恋香拌砂锅,18:13,2023-3-13
4.2,百味佳副食一组,8:04,2022-11-13
14.0,学苑食堂香恋香拌砂锅,18:06,2023-3-1
11.4,百味佳副食一组,7:10,2023-1-29
10.0,美食林90后串炒饭,17:17,2022-8-28
19.5,美食林海南鸡饭,11:50,2022-10-7
2.3,百味佳副食一组,9:07,2022-11-3
13.1,百味佳副食一组,8:40,2022-11-14
12.0,学苑食堂副食三组,17:32,2023-1-26
12.5,百味佳副食一组,11:52,2022-11-3
15.0,学苑食堂副食三组,17:18,2022-11-22
11.0,一区饺子园主食一组,12:13,2022-7-21
5.35,友来副食一组,8:08,2022-11-7
5.6,百味佳副食一组,9:17,2023-4-20
10.0,美食林90后串炒饭,11:40,2023-0-10
12.2,紫丁香餐吧机器人收银组,17:42,2022-10-24
12.0,美食林川蜀源烤鱼,11:50,2022-8-13
11.9,学苑食堂真牛铁板,17:28,2022-11-4
3.22,友来副食一组,8:38,2022-10-11
16.0,学苑食堂香恋香拌砂锅,17:40,2023-4-20
5.85,友来副食一组,7:35,2022-7-24
2.45,百味佳副食一组,7:42,2022-9-9
15.0,民族餐厅铁板料理,11:26,2022-10-3
17.4,美食林广式猪脚饭,17:14,2022-11-0
10.0,美食林蜀香麻辣烫(川香麻辣烫),17:20,2022-10-21
19.4,紫丁香餐吧机器人收银组,11:55,2023-4-4
10.5,学苑食堂香恋香拌砂锅,11:47,2023-3-3
16.2,美食林真牛铁板,17:38,2022-11-18
12.0,学苑食堂铁锅焖面,17:28,2023-3-18
5.1,美食林小猪憨尼麻辣烫,17:28,2023-2-21
12.2,百味佳副食一组,17:43,2022-11-13
15.0,美食林川蜀源烤鱼,18:18,2023-0-27
4.75,紫丁香餐吧机器人收银组,9:44,2023-4-19
11.4,友来朝鲜风味,11:18,2022-9-5
12.5,百味佳副食一组,11:56,2022-11-2
2.85,学苑食堂副食三组,8:07,2022-11-0
15.0,美食林那小味面馆,11:40,2023-3-17
9.0,民族餐厅铁板料理,11:59,2022-10-0
14.0,学院食堂陕西名小吃,17:22,2022-11-5
11.0,学苑食堂副食二组,11:42,2022-11-15
2.5,百味佳副食一组,8:43,2023-4-14
12.0,美食林陕西刀削面(罐罐面),17:46,2022-7-29
9.35,友来副食一组,7:52,2022-10-7
22.0,美食林东农豆坊,11:29,2023-3-10
16.2,紫丁香餐吧机器人收银组,9:48,2022-9-18
5.84,学苑食堂铁锅焖面,18:33,2022-10-18
26.0,阳光川蜀源烤鱼,11:43,2022-8-28
4.6,友来副食一组,7:10,2022-8-26
2.5,百味佳副食一组,9:20,2023-2-23
12.0,学苑食堂包子,18:18,2023-3-1
11.0,百味佳展销组,11:52,2022-11-2
10.2,紫丁香餐吧机器人收银组,17:28,2022-9-7
19.5,百味佳展销组,11:04,2022-9-13
9.85,百味佳副食一组,11:52,2022-10-26
14.0,美食林90后串炒饭,18:16,2023-4-1
2.36,友来副食一组,7:21,2022-9-19
18.44,紫丁香餐吧机器人收银组,17:33,2022-11-15
11.5,美食林老上客砂锅,17:29,2023-3-14
4.5,百味佳副食一组,9:22,2023-4-13
22.5,美食林真牛铁板,17:31,2022-7-7
2.65,友来副食一组,7:22,2022-9-0
12.5,学苑食堂香恋香拌砂锅,17:49,2023-3-29
12.0,美食林老上客砂锅,17:48,2023-1-25
8.2,百味佳副食一组,12:38,2022-9-0
15.0,美食林老上客砂锅,17:57,2022-9-0
10.0,美食林陕西刀削面(罐罐面),17:09,2023-4-7
13.95,学苑食堂副食二组,7:39,2023-3-9
9.6,回味斋一餐厅副食一组,11:38,2023-4-18
3.95,友来副食一组,7:20,2022-10-3
4.1,友来副食一组,7:17,2022-9-23
3.95,友来副食一组,8:55,2022-10-16
12.0,阳光广式猪脚饭,18:15,2023-3-2
12.0,民族餐厅铁板料理,11:52,2022-11-11
3.6,百味佳副食一组,7:25,2023-2-28
18.6,友来副食一组,11:45,2022-9-21
17.7,美食林海南鸡饭,17:00,2022-9-8
4.0,民族餐厅铁板料理,10:55,2023-3-12
4.2,百味佳副食一组,8:33,2022-11-2
17.0,美食林美美卤肉饭,17:39,2022-8-3
5.7,友来副食一组,8:52,2022-9-5
4.6,学苑食堂副食三组,17:55,2022-9-22
4.95,百味佳副食一组,8:10,2023-4-16
4.4,紫丁香餐吧机器人收银组,9:40,2023-2-18
13.0,民族餐厅金家店,16:53,2022-11-18
19.0,学苑食堂铁锅焖面,17:49,2022-6-27
14.0,美食林90后串炒饭,18:26,2023-3-11
14.0,美食林陕西刀削面(罐罐面),11:28,2022-7-28
16.0,美食林川蜀源烤鱼,16:22,2023-3-14
28.1,紫丁香餐吧机器人收银组,11:51,2023-4-19
2.4,美食林肠粉,15:57,2022-8-20
3.5,友来副食一组,8:17,2022-10-15
3.1,百味佳副食一组,8:40,2023-4-0
11.4,百味佳副食一组,11:59,2023-0-4
5.6,百味佳副食一组,7:32,2023-3-19
15.0,美食林阿咪酱骨扒肉,17:11,2023-3-20
13.0,民族餐厅金家店,11:15,2022-8-28
5.35,友来副食一组,8:35,2022-9-25
3.3,友来副食一组,7:45,2022-10-18
17.1,美食林小猪憨尼麻辣烫,16:11,2022-8-15
4.5,友来副食一组,7:16,2022-11-12
19.2,友来副食一组,11:50,2022-9-25
8.0,学苑食堂副食三组,11:42,2022-11-17
11.78,学苑食堂包子,11:40,2022-7-27
12.0,美食林老上客砂锅,7:06,2023-4-13
3.85,美食林小猪憨尼麻辣烫,8:20,2022-6-28
15.0,美食林川蜀源烤鱼,12:16,2023-3-7
12.4,百味佳副食一组,11:47,2023-2-30
6.7,友来副食一组,7:38,2022-9-7
20.2,百味佳展销组,16:52,2022-9-30
3.7,友来副食一组,7:06,2022-9-15
2.6,百味佳副食一组,9:44,2023-3-26
14.0,美食林陕西刀削面(罐罐面),17:14,2022-10-6
12.1,百味佳副食一组,11:47,2022-10-24
4.0,友来副食一组,7:41,2022-11-10
12.0,学苑食堂真牛铁板,11:21,2023-4-0
9.0,友来朝鲜风味,16:26,2022-10-12
12.0,美食林90后串炒饭,17:16,2023-4-2
5.75,百味佳副食一组,8:36,2023-4-15
11.0,阳光广式猪脚饭,17:35,2023-2-7
11.1,百味佳副食一组,18:01,2023-4-5
10.0,美食林陕西刀削面(罐罐面),18:16,2022-9-10
4.1,学苑食堂副食一组,8:06,2022-9-20
3.35,友来副食一组,7:55,2022-8-22
10.0,阳光广式猪脚饭,17:59,2022-11-10
16.42,百味佳展销组,11:47,2022-10-21
17.6,百味佳副食一组,17:55,2022-11-5
4.25,友来副食一组,7:44,2022-10-25
16.05,学苑食堂副食三组,11:48,2023-4-15
4.95,友来副食一组,7:50,2022-10-9
2.7,百味佳副食一组,9:51,2023-4-3
4.25,百味佳副食一组,7:53,2022-10-1
12.0,美食林老上客砂锅,18:04,2022-9-30
9.7,友来副食一组,11:41,2022-10-0
16.75,紫丁香餐吧机器人收银组,11:57,2022-10-20
10.2,百味佳展销组,11:59,2022-9-25
2.1,百味佳副食一组,8:55,2023-2-19
10.3,百味佳展销组,11:57,2022-9-21
13.0,百味佳展销组,11:25,2022-7-3
13.83,民族餐厅金家店,18:31,2022-8-27
4.5,友来副食一组,7:06,2022-10-2
5.75,友来副食一组,7:30,2022-9-6
12.4,紫丁香餐吧机器人收银组,11:54,2022-11-13
12.4,百味佳副食一组,11:53,2023-4-20
10.0,美食林真牛铁板,18:00,2022-9-19
12.0,阳光广式猪脚饭,10:54,2023-4-12
5.4,百味佳展销组,7:59,2022-7-2
16.2,紫丁香餐吧机器人收银组,17:07,2023-1-18
18.0,美食林蜀香麻辣烫(川香麻辣烫),10:27,2023-2-5
12.2,百味佳副食一组,11:13,2022-11-3
3.35,百味佳副食一组,8:03,2023-2-0
4.1,百味佳副食一组,11:30,2023-1-15
5.5,百味佳副食一组,8:40,2023-3-5
3.7,学苑食堂副食三组,11:01,2023-4-11
11.0,一区饺子园凉菜组,18:13,2023-2-11
9.0,美食林九旦西北小吃,11:42,2023-4-20
4.5,友来副食一组,7:58,2022-9-1
2.6,百味佳副食一组,8:28,2023-2-30
3.35,百味佳副食一组,8:16,2023-2-9
12.4,百味佳副食一组,11:42,2022-10-8
11.0,阳光广式猪脚饭,11:46,2023-3-21
13.25,友来副食一组,8:12,2022-10-6
11.0,美食林老上客砂锅,17:25,2022-9-8
12.0,美食林阿咪酱骨扒肉,18:18,2023-4-15
3.0,友来副食一组,8:12,2022-10-20
3.95,友来副食一组,7:08,2022-10-2
23.0,美食林东农豆坊,12:00,2022-7-5
8.95,百味佳副食一组,7:31,2022-9-29
15.22,百味佳副食一组,11:17,2022-11-12
2.8,美食林90后串炒饭,17:37,2023-2-18
16.0,美食林九旦西北小吃,17:40,2023-3-17
14.0,美食林老上客砂锅,17:27,2022-8-8
3.35,友来副食一组,7:22,2022-10-10
16.0,学苑食堂副食三组,17:48,2023-1-28
3.1,百味佳副食一组,7:53,2022-10-5
13.4,百味佳副食一组,8:24,2023-3-12
16.0,美食林真牛铁板,17:35,2022-11-7
11.0,学苑食堂香恋香拌砂锅,7:08,2022-6-27
4.35,友来副食一组,7:31,2022-9-29
5.2,学苑食堂副食一组,11:40,2023-2-14
2.6,百味佳副食一组,7:38,2023-4-20
11.5,紫丁香餐吧机器人收银组,17:15,2023-3-4
13.0,美食林老上客砂锅,17:16,2022-7-26
4.85,学苑食堂副食三组,7:45,2022-6-27
13.5,民族餐厅金家店,11:36,2023-2-10
3.5,百味佳副食一组,7:13,2023-4-15
14.0,美食林90后串炒饭,11:52,2022-10-16
4.95,友来副食一组,8:45,2022-9-20
5.2,回味斋一餐厅副食一组,7:14,2022-9-8
3.5,百味佳副食一组,8:41,2023-3-15
15.0,美食林陕西刀削面(罐罐面),18:30,2022-9-23
4.7,百味佳副食一组,8:45,2022-11-8
4.0,美食林90后串炒饭,7:46,2022-10-5
12.0,美食林老上客砂锅,16:59,2022-10-10
12.28,百味佳副食一组,12:27,2022-9-3
3.8,友来副食一组,8:33,2022-9-11
21.0,美食林老上客砂锅,11:35,2022-7-27
4.6,百味佳展销组,7:12,2022-9-5
9.2,学苑食堂副食一组,11:56,2022-9-0
13.0,民族餐厅山西饸饹面,16:08,2023-3-3
4.0,百味佳副食一组,12:02,2023-0-30
2.2,百味佳副食一组,8:42,2023-3-19
3.5,友来副食一组,7:48,2022-10-11
4.5,百味佳副食一组,11:47,2022-11-5
10.0,学苑食堂包子,11:57,2022-8-27
2.5,百味佳副食一组,9:11,2023-2-3
5.6,学苑食堂副食一组,8:34,2022-8-7
2.1,百味佳副食一组,8:20,2023-4-16
16.0,百味佳副食一组,11:34,2022-11-13
21.0,百味佳副食二组,11:01,2023-4-20
5.25,友来副食一组,7:24,2022-9-29
5.2,百味佳副食一组,8:24,2022-9-14
16.0,民族餐厅山西饸饹面,7:11,2023-3-25
16.0,美食林陕西刀削面(罐罐面),18:37,2022-9-25
15.28,美食林海南鸡饭,17:09,2022-8-18
12.0,美食林陕西刀削面(罐罐面),17:38,2023-4-18
18.4,回味斋一餐厅副食一组,11:59,2022-7-1
14.0,美食林老上客砂锅,17:10,2023-3-0
2.47,百味佳副食一组,8:08,2023-4-19
12.8,友来副食一组,7:32,2022-7-4
6.4,百味佳副食一组,11:59,2023-4-8
5.35,友来副食一组,7:55,2022-9-18
12.6,学苑食堂副食三组,17:30,2023-0-6
12.4,百味佳副食一组,11:44,2023-2-10
3.1,百味佳展销组,7:32,2022-11-9
13.0,美食林陕西刀削面(罐罐面),17:15,2022-8-22
4.4,百味佳副食一组,7:33,2023-4-20
15.0,美食林真牛铁板,11:22,2022-10-4
5.95,美食林小猪憨尼麻辣烫,8:18,2023-2-30
14.0,民族餐厅金家店,11:54,2022-9-20
12.8,友来副食一组,8:03,2022-10-15
5.4,百味佳副食一组,8:15,2022-10-11
11.54,美食林陕西刀削面(罐罐面),17:34,2022-9-12
9.98,学苑食堂重庆小面,11:47,2022-10-4
14.2,学苑食堂重庆小面,17:30,2023-4-20
12.0,民族餐厅金家店,11:19,2022-7-11
4.95,友来副食一组,7:32,2022-11-18
3.4,百味佳副食一组,9:29,2022-10-9
9.0,美食林川蜀源烤鱼,17:15,2023-3-1
12.2,友来副食一组,11:48,2022-9-2
4.1,百味佳副食一组,12:20,2022-11-7
25.0,学苑食堂包子,16:59,2023-3-21
15.0,美食林川蜀源烤鱼,11:41,2023-3-10
2.16,百味佳副食一组,8:05,2023-4-20
12.5,民族餐厅金家店,17:35,2022-11-18
2.5,百味佳副食一组,8:03,2022-9-28
4.4,百味佳副食一组,7:48,2022-11-17
10.0,阳光广式猪脚饭,17:36,2022-10-30
23.25,友来副食一组,11:59,2022-9-11
2.25,百味佳副食一组,8:15,2022-11-6
13.6,百味佳副食一组,11:57,2022-11-2
4.1,紫丁香餐吧机器人收银组,7:33,2022-8-13
12.0,美食林90后串炒饭,17:00,2023-2-16
9.0,美食林90后串炒饭,17:55,2022-7-6
3.0,学院食堂陕西名小吃,17:28,2023-4-19
15.0,学苑食堂重庆小面,18:03,2023-3-5
10.0,民族餐厅金家店,11:09,2022-9-2
5.54,百味佳副食一组,7:31,2023-4-5
5.75,友来副食一组,7:38,2022-10-8
4.1,百味佳副食一组,7:33,2023-3-17
14.0,美食林铁锅焖面,17:48,2023-4-8
18.2,百味佳副食一组,11:47,2023-4-6
3.25,友来副食一组,7:20,2022-10-12
16.2,友来副食一组,11:29,2022-8-27
9.0,美食林老上客砂锅,12:05,2022-10-6
21.2,学苑食堂副食三组,11:47,2023-2-18
10.6,民族餐厅山西饸饹面,10:47,2022-8-24
16.2,阳光小是小简餐,17:33,2023-4-17
3.1,百味佳副食一组,7:51,2023-2-22
13.0,紫丁香餐吧机器人收银组,11:09,2023-4-19
3.4,友来副食一组,9:01,2022-9-12
18.1,美食林小猪憨尼麻辣烫,17:31,2022-9-25
10.0,美食林川蜀源烤鱼,11:46,2023-2-22
10.0,美食林铁锅焖面,17:44,2022-11-19
2.7,学苑食堂副食三组,7:29,2022-9-14
15.4,百味佳副食一组,11:49,2023-3-18
11.88,一区饺子园主食一组,17:12,2022-10-11
12.4,阳光小是小简餐,11:50,2022-9-2
3.9,友来副食一组,7:17,2022-9-13
2.95,友来副食一组,7:48,2022-9-22
13.0,美食林老上客砂锅,11:38,2022-7-23
11.38,美食林蜀香麻辣烫(川香麻辣烫),17:28,2023-4-5
9.7,百味佳副食一组,11:46,2023-3-25
13.0,学苑食堂副食三组,17:45,2023-3-20
13.6,百味佳副食一组,17:30,2023-4-17
13.0,美食林真牛铁板,17:25,2022-9-7
27.5,百味佳展销组,11:22,2022-11-18
15.0,美食林真牛铁板,17:10,2022-10-16
5.65,学苑食堂副食三组,9:55,2022-9-9
13.0,学苑食堂副食三组,18:09,2022-9-26
2.35,百味佳副食一组,8:21,2023-4-12
10.0,民族餐厅金家店,17:44,2023-3-22
12.0,美食林川蜀源烤鱼,8:19,2023-3-28
3.35,学苑食堂副食一组,7:36,2022-9-27
14.0,学苑食堂副食三组,17:33,2023-4-15
14.4,百味佳副食一组,11:46,2022-11-16
15.0,美食林川蜀源烤鱼,17:47,2023-1-9
6.5,友来副食一组,8:12,2022-9-9
12.6,阳光副食二组,11:53,2022-11-12
4.0,学苑食堂副食三组,8:33,2022-10-9
2.38,百味佳副食一组,11:41,2023-3-27
4.55,百味佳副食一组,9:18,2023-3-7
4.35,友来副食一组,7:55,2022-10-22
11.9,民族餐厅铁板料理,17:22,2022-10-19
16.0,学苑食堂副食三组,17:42,2023-4-20
4.1,百味佳展销组,8:18,2023-4-15
2.6,百味佳副食一组,8:41,2023-3-12
17.0,学苑食堂包子,11:47,2022-10-15
12.2,百味佳副食一组,11:47,2022-11-18
10.2,美食林海南鸡饭,11:50,2022-11-14
3.5,友来副食一组,8:00,2022-9-21
12.0,美食林90后串炒饭,17:48,2023-4-20
15.6,美食林小猪憨尼麻辣烫,17:40,2022-8-18
11.5,美食林小猪憨尼麻辣烫,7:07,2022-10-12
11.4,紫丁香餐吧机器人收银组,17:37,2022-10-0
16.6,回味斋一餐厅副食一组,11:48,2022-10-16
16.0,民族餐厅铁板料理,17:26,2022-11-7
4.35,友来副食一组,7:07,2022-9-13
22.36,阳光副食二组,16:40,2023-3-7
25.7,友来副食一组,7:50,2022-11-2
12.1,百味佳副食一组,11:48,2023-2-14
15.2,民族餐厅铁板料理,11:40,2022-11-0
2.22,美食林美美卤肉饭,17:22,2022-10-17
3.15,百味佳副食一组,9:09,2023-3-27
13.0,美食林90后串炒饭,15:05,2022-8-26
13.8,美食林真牛铁板,17:35,2023-3-24
