当地时间 哈尔滨太平(机场）,气温,气象站大气压,海平面大气压,相对湿度,风向,平均风速,最大阵风,特殊天象,重要天象,总云量,能见度,露点温度,时间,日期
30.04.2023 17:00,9,740.5,753.1,82,从西北偏西方向吹来的风,5,,,,无明显的云,10.0 大于等于,6,17:00,30.04.2023
30.04.2023 16:00,8,740.5,753.1,87,从西北偏西方向吹来的风,6,,,,"疏云 (40-50%) 390 米, 多云 (60-90%) 1380 米",10.0 大于等于,6,16:00,30.04.2023
30.04.2023 15:00,8,740.5,753.1,87,从西北方吹来的风,5,,轻度（小）（弱） 雨,,"少云 (10-30%) 390 米, 多云 (60-90%) 900 米",10.0 大于等于,6,15:00,30.04.2023
30.04.2023 14:00,7,739.7,752.3,93,从西北偏北方向吹来的风,6,,轻度（小）（弱） 雨,,"疏云 (40-50%) 390 米, 多云 (60-90%) 900 米",10.0 大于等于,6,14:00,30.04.2023
30.04.2023 13:00,7,739.7,752.3,87,从西北偏北方向吹来的风,6,,轻度（小）（弱） 雨,,"疏云 (40-50%) 300 米, 多云 (60-90%) 600 米",10.0 大于等于,5,13:00,30.04.2023
30.04.2023 12:00,6,739.6,752.3,100,从西北偏西方向吹来的风,3,,轻度（小）（弱） 雨,,"多云 (60-90%) 600 米, 多云 (60-90%) 900 米",7,6,12:00,30.04.2023
30.04.2023 11:00,6,739.6,752.3,93,从东北偏北方向吹来的风,5,,轻度（小）（弱） 雨,,"疏云 (40-50%) 300 米, 多云 (60-90%) 600 米",7,5,11:00,30.04.2023
30.04.2023 10:00,6,739.6,752.3,93,从北方吹来的风,3,,轻度（小）（弱） 雨,,"疏云 (40-50%) 300 米, 多云 (60-90%) 600 米",10.0 大于等于,5,10:00,30.04.2023
30.04.2023 09:00,6,738.9,751.6,93,从北方吹来的风,4,,轻度（小）（弱） 雨,,"疏云 (40-50%) 300 米, 多云 (60-90%) 600 米",10.0 大于等于,5,9:00,30.04.2023
30.04.2023 08:00,7,739,751.6,93,从西北偏北方向吹来的风,5,,轻度（小）（弱） 雨,,"疏云 (40-50%) 300 米, 多云 (60-90%) 990 米",10.0 大于等于,6,8:00,30.04.2023
30.04.2023 07:00,7,738.2,750.8,93,从西北偏北方向吹来的风,5,,,,"疏云 (40-50%) 300 米, 疏云 (40-50%) 600 米",10.0 大于等于,6,7:00,30.04.2023
30.04.2023 06:00,6,738.1,750.8,93,从西北方吹来的风,4,,,,疏云 (40-50%) 300 米,10.0 大于等于,5,6:00,30.04.2023
30.04.2023 05:00,6,737.4,750.1,93,从西北偏北方向吹来的风,4,,,,疏云 (40-50%) 600 米,10.0 大于等于,5,5:00,30.04.2023
30.04.2023 04:00,6,737.4,750.1,93,从西北偏北方向吹来的风,4,,,,"少云 (10-30%) 300 米, 疏云 (40-50%) 1200 米",10.0 大于等于,5,4:00,30.04.2023
30.04.2023 03:00,6,737.4,750.1,100,从西北偏北方向吹来的风,4,,轻度（小）（弱） 雨,,"少云 (10-30%) 300 米, 疏云 (40-50%) 1200 米",8,6,3:00,30.04.2023
30.04.2023 02:00,6,737.4,750.1,100,从西北偏北方向吹来的风,4,,轻度（小）（弱） 雨,,"少云 (10-30%) 300 米, 疏云 (40-50%) 1200 米",8,6,2:00,30.04.2023
30.04.2023 01:00,7,737.5,750.1,100,从西北偏北方向吹来的风,3,,轻度（小）（弱） 雨,,"少云 (10-30%) 300 米, 疏云 (40-50%) 1200 米",8,7,1:00,30.04.2023
30.04.2023 00:00,7,738.2,750.8,100,从北方吹来的风,4,,轻度（小）（弱） 雨,,"少云 (10-30%) 300 米, 疏云 (40-50%) 1200 米",6,7,0:00,30.04.2023
29.04.2023 23:00,7,738.2,750.8,100,从东北偏北方向吹来的风,4,,轻度（小）（弱） 雨,,"少云 (10-30%) 300 米, 疏云 (40-50%) 1200 米",6,7,23:00,29.04.2023
29.04.2023 22:00,8,738.2,750.8,100,从东北偏北方向吹来的风,5,,轻度（小）（弱） 雨,,"少云 (10-30%) 300 米, 疏云 (40-50%) 1200 米",8,8,22:00,29.04.2023
29.04.2023 21:00,8,738.2,750.8,93,从东北偏北方向吹来的风,4,,轻度（小）（弱） 雨,,疏云 (40-50%) 1200 米,8,7,21:00,29.04.2023
29.04.2023 20:00,8,739,751.6,93,从东北方吹来的风,2,,轻度（小）（弱） 雨,,阴天 (100%) 990 米,6,7,20:00,29.04.2023
29.04.2023 19:00,8,738.2,750.8,93,从东北方吹来的风,5,,轻度（小）（弱） 雨,,阴天 (100%) 990 米,8,7,19:00,29.04.2023
29.04.2023 18:00,10,738.3,750.8,76,从东北方吹来的风,6,,轻度（小）（弱） 雨,,多云 (60-90%) 1200 米,10.0 大于等于,6,18:00,29.04.2023
29.04.2023 17:00,11,737.7,750.1,72,从东北方吹来的风,7,,,,多云 (60-90%) 1200 米,10.0 大于等于,6,17:00,29.04.2023
29.04.2023 16:00,12,737.7,750.1,67,从东北方吹来的风,7,,,,疏云 (40-50%) 990 米,10.0 大于等于,6,16:00,29.04.2023
29.04.2023 15:00,12,738.4,750.8,72,从东北方吹来的风,7,,,,多云 (60-90%) 990 米,10.0 大于等于,7,15:00,29.04.2023
29.04.2023 14:00,12,739.2,751.6,72,从东北偏北方向吹来的风,6,,,,"疏云 (40-50%) 600 米, 多云 (60-90%) 1200 米",10.0 大于等于,7,14:00,29.04.2023
29.04.2023 13:00,12,739.2,751.6,77,从东北偏北方向吹来的风,7,,,,疏云 (40-50%) 600 米,8,8,13:00,29.04.2023
29.04.2023 12:00,12,740.7,753.1,77,从东北偏北方向吹来的风,5,,,,疏云 (40-50%) 600 米,8,8,12:00,29.04.2023
29.04.2023 11:00,12,741.5,753.9,77,从东北偏北方向吹来的风,4,,,,无明显的云,8,8,11:00,29.04.2023
29.04.2023 10:00,11,742.1,754.6,82,从东北偏东方向吹来的风,4,,轻雾,,无明显的云,4,8,10:00,29.04.2023
29.04.2023 09:00,9,742,754.6,94,从东北偏东方向吹来的风,2,,轻雾,,无明显的云,4,8,9:00,29.04.2023
29.04.2023 08:00,8,742.7,755.4,93,从东方吹来的风,1,,轻雾,,无明显的云,4,7,8:00,29.04.2023
29.04.2023 07:00,7,742.7,755.4,93,风向多变,1,,轻雾,,无明显的云,4,6,7:00,29.04.2023
29.04.2023 06:00,6,743.4,756.2,100,从东南偏南方向吹来的风,3,,轻雾,,"疏云 (40-50%) 180 米, 阴天 (100%) 1380 米",3.5,6,6:00,29.04.2023
29.04.2023 05:00,6,743.4,756.2,100,从南方吹来的风,2,,轻雾,,"疏云 (40-50%) 150 米, 阴天 (100%) 1380 米",4,6,5:00,29.04.2023
29.04.2023 04:00,6,743.4,756.2,100,从南方吹来的风,2,,轻雾,,疏云 (40-50%) 1380 米,4.5,6,4:00,29.04.2023
29.04.2023 03:00,6,743.4,756.2,100,从东南方吹来的风,3,,轻雾,,无明显的云,5,6,3:00,29.04.2023
29.04.2023 02:00,7,744.2,756.9,93,从东南方吹来的风,3,,轻雾,,无明显的云,5,6,2:00,29.04.2023
29.04.2023 01:00,7,745,757.7,100,从东南偏南方向吹来的风,4,,,,无明显的云,10.0 大于等于,7,1:00,29.04.2023
29.04.2023 00:00,8,745,757.7,93,从东南偏南方向吹来的风,3,,,,多云 (60-90%) 1290 米,10.0 大于等于,7,0:00,29.04.2023
28.04.2023 23:00,9,745.1,757.7,94,从南方吹来的风,4,,,,多云 (60-90%) 1290 米,10.0 大于等于,8,23:00,28.04.2023
28.04.2023 22:00,9,745.1,757.7,94,从东南偏南方向吹来的风,3,,"轻度（小）（弱） 阵性, 雨",,多云 (60-90%) 1380 米,10.0 大于等于,8,22:00,28.04.2023
28.04.2023 21:00,9,745.5,758.2,94,从南方吹来的风,3,,,,多云 (60-90%) 1380 米,10.0 大于等于,8,21:00,28.04.2023
28.04.2023 20:00,10,745.1,757.7,94,从南方吹来的风,3,,"轻度（小）（弱） 阵性, 雨",,多云 (60-90%) 1380 米,10.0 大于等于,9,20:00,28.04.2023
28.04.2023 19:00,11,745.1,757.7,82,从南方吹来的风,4,,,,疏云 (40-50%) 1380 米,10.0 大于等于,8,19:00,28.04.2023
28.04.2023 18:00,11,744.4,756.9,82,从南方吹来的风,5,10,,,疏云 (40-50%) 1380 米,10.0 大于等于,8,18:00,28.04.2023
28.04.2023 17:00,12,743.7,756.2,77,从南方吹来的风,6,,,,无明显的云,10.0 大于等于,8,17:00,28.04.2023
28.04.2023 16:00,11,743.7,756.2,82,从南方吹来的风,8,13,,,多云 (60-90%) 900 米,10.0 大于等于,8,16:00,28.04.2023
28.04.2023 15:00,12,744.4,756.9,82,从东南偏南方向吹来的风,7,,,,阴天 (100%) 690 米,10.0 大于等于,9,15:00,28.04.2023
28.04.2023 14:00,12,744.4,756.9,88,从东南方吹来的风,5,,,,"疏云 (40-50%) 300 米, 阴天 (100%) 600 米",6,10,14:00,28.04.2023
28.04.2023 13:00,11,745.1,757.7,94,从东南偏东方向吹来的风,4,,轻雾,,"疏云 (40-50%) 240 米, 阴天 (100%) 600 米",4.5,10,13:00,28.04.2023
28.04.2023 12:00,11,745.1,757.7,94,从东南方吹来的风,4,,轻雾,,"疏云 (40-50%) 180 米, 阴天 (100%) 990 米",3,10,12:00,28.04.2023
28.04.2023 11:00,11,745.6,758.2,94,从东南方吹来的风,4,,轻雾,,"疏云 (40-50%) 300 米, 阴天 (100%) 990 米",3,10,11:00,28.04.2023
28.04.2023 10:00,11,745.6,758.2,94,从东南方吹来的风,3,,轻雾,,"疏云 (40-50%) 300 米, 阴天 (100%) 1200 米",4,10,10:00,28.04.2023
28.04.2023 09:00,11,745.6,758.2,88,从东南偏南方向吹来的风,2,,轻雾,,疏云 (40-50%) 300 米,3,9,9:00,28.04.2023
28.04.2023 08:00,11,745.6,758.2,88,从南方吹来的风,4,,轻雾,,疏云 (40-50%) 300 米,3.5,9,8:00,28.04.2023
28.04.2023 07:00,10,745.6,758.2,94,从东南偏南方向吹来的风,3,,轻雾,,无明显的云,4,9,7:00,28.04.2023
28.04.2023 06:00,10,745.6,758.2,88,从南方吹来的风,3,,轻雾,,无明显的云,4,8,6:00,28.04.2023
28.04.2023 05:00,8,745.5,758.2,93,从东南偏南方向吹来的风,3,,轻雾,,无明显的云,4,7,5:00,28.04.2023
28.04.2023 04:00,9,745.1,757.7,87,从东南偏南方向吹来的风,3,,轻雾,,无明显的云,4,7,4:00,28.04.2023
28.04.2023 03:00,9,745.1,757.7,87,从东南方吹来的风,2,,,,无明显的云,7,7,3:00,28.04.2023
28.04.2023 02:00,10,745.1,757.7,88,从南方吹来的风,2,,,,无明显的云,10.0 大于等于,8,2:00,28.04.2023
28.04.2023 01:00,10,744.3,756.9,88,从东南方吹来的风,3,,,,"少云 (10-30%) 1200 米, 少云 (10-30%) 1200 米, 积雨云",10.0 大于等于,8,1:00,28.04.2023
28.04.2023 00:00,10,745.1,757.7,82,从南方吹来的风,4,,,雷暴,"疏云 (40-50%) 990 米, 少云 (10-30%) 990 米, 积雨云",10.0 大于等于,7,0:00,28.04.2023
27.04.2023 23:00,11,745.6,758.2,77,从西北方吹来的风,6,,"轻度（小）（弱） 阵性, 雨",,"多云 (60-90%) 900 米, 少云 (10-30%) 990 米, 积雨云",10.0 大于等于,7,23:00,27.04.2023
27.04.2023 22:00,11,745.1,757.7,72,从南方吹来的风,5,,,,"疏云 (40-50%) 1200 米, 少云 (10-30%) 1200 米, 积雨云",10.0 大于等于,6,22:00,27.04.2023
27.04.2023 21:00,11,744.4,756.9,72,从南方吹来的风,5,,,,无明显的云,10.0 大于等于,6,21:00,27.04.2023
27.04.2023 20:00,12,744.4,756.9,72,从西南偏南方向吹来的风,5,,,,疏云 (40-50%) 1200 米,10.0 大于等于,7,20:00,27.04.2023
27.04.2023 19:00,14,743.8,756.2,72,从西南偏南方向吹来的风,6,,"轻度（小）（弱） 阵性, 雨",,阴天 (100%) 1200 米,8,9,19:00,27.04.2023
27.04.2023 18:00,16,743.1,755.4,59,从西南方吹来的风,8,,,,疏云 (40-50%) 1200 米,10.0 大于等于,8,18:00,27.04.2023
27.04.2023 17:00,17,742.4,754.6,52,从西南方吹来的风,9,,,,疏云 (40-50%) 1200 米,10.0 大于等于,7,17:00,27.04.2023
27.04.2023 16:00,18,742.4,754.6,43,从西南方吹来的风,10,,,,疏云 (40-50%) 1200 米,10.0 大于等于,5,16:00,27.04.2023
27.04.2023 15:00,19,742.4,754.6,40,从西南方吹来的风,8,,,,无明显的云,10.0 大于等于,5,15:00,27.04.2023
27.04.2023 14:00,20,742.5,754.6,35,从西南方吹来的风,9,,,,无明显的云,10.0 大于等于,4,14:00,27.04.2023
27.04.2023 13:00,20,742.5,754.6,33,从西南方吹来的风,8,,,,无明显的云,10.0 大于等于,3,13:00,27.04.2023
27.04.2023 12:00,19,743.2,755.4,32,从西南方吹来的风,8,13,,,无明显的云,10.0 大于等于,2,12:00,27.04.2023
27.04.2023 11:00,18,743.2,755.4,34,从西南方吹来的风,8,,,,无明显的云,10.0 大于等于,2,11:00,27.04.2023
27.04.2023 10:00,16,743.1,755.4,36,从西南方吹来的风,10,,,,无明显的云,10.0 大于等于,1,10:00,27.04.2023
27.04.2023 09:00,15,743.1,755.4,39,从西南方吹来的风,11,,,,无明显的云,10.0 大于等于,1,9:00,27.04.2023
27.04.2023 08:00,12,742.9,755.4,44,从西南方吹来的风,10,15,,,无明显的云,10.0 大于等于,0,8:00,27.04.2023
27.04.2023 07:00,9,742.8,755.4,54,从西南偏南方向吹来的风,9,,,,无明显的云,10.0 大于等于,0,7:00,27.04.2023
27.04.2023 06:00,6,742.7,755.4,66,从西南偏南方向吹来的风,5,,,,无明显的云,10.0 大于等于,0,6:00,27.04.2023
27.04.2023 05:00,5,742.6,755.4,66,从南方吹来的风,5,,,,无明显的云,10.0 大于等于,-1,5:00,27.04.2023
27.04.2023 04:00,5,742.6,755.4,66,从南方吹来的风,5,,,,无明显的云,10.0 大于等于,-1,4:00,27.04.2023
27.04.2023 03:00,5,743.4,756.2,66,从南方吹来的风,5,,,,无明显的云,10.0 大于等于,-1,3:00,27.04.2023
27.04.2023 02:00,5,743.4,756.2,66,从南方吹来的风,5,,,,无明显的云,10.0 大于等于,-1,2:00,27.04.2023
27.04.2023 01:00,5,743.4,756.2,66,从南方吹来的风,4,,,,无明显的云,10.0 大于等于,-1,1:00,27.04.2023
27.04.2023 00:00,6,744.1,756.9,61,从南方吹来的风,4,,,,无明显的云,10.0 大于等于,-1,0:00,27.04.2023
26.04.2023 23:00,6,744.1,756.9,61,从南方吹来的风,5,,,,无明显的云,10.0 大于等于,-1,23:00,26.04.2023
26.04.2023 22:00,8,744.2,756.9,53,从西南偏南方向吹来的风,5,,,,无明显的云,10.0 大于等于,-1,22:00,26.04.2023
26.04.2023 21:00,8,744.2,756.9,53,从南方吹来的风,5,,,,无明显的云,10.0 大于等于,-1,21:00,26.04.2023
26.04.2023 20:00,8,744.2,756.9,50,从西南偏南方向吹来的风,5,,,,无明显的云,10.0 大于等于,-2,20:00,26.04.2023
26.04.2023 19:00,9,744.3,756.9,43,从西南偏南方向吹来的风,5,,,,无明显的云,10.0 大于等于,-3,19:00,26.04.2023
26.04.2023 18:00,11,744.4,756.9,41,从西南方吹来的风,8,,,,无明显的云,10.0 大于等于,-2,18:00,26.04.2023
26.04.2023 17:00,13,743.8,756.2,36,从西南方吹来的风,9,,,,无明显的云,10.0 大于等于,-2,17:00,26.04.2023
26.04.2023 16:00,13,744.4,756.9,33,从西南方吹来的风,9,,,,无明显的云,10.0 大于等于,-3,16:00,26.04.2023
26.04.2023 15:00,13,744.4,756.9,33,从西南方吹来的风,9,,,,无明显的云,10.0 大于等于,-3,15:00,26.04.2023
26.04.2023 14:00,14,745.3,757.7,27,从西南偏西方向吹来的风,9,,,,无明显的云,10.0 大于等于,-5,14:00,26.04.2023
26.04.2023 13:00,13,745.7,758.2,33,从西南方吹来的风,9,,,,无明显的云,10.0 大于等于,-3,13:00,26.04.2023
26.04.2023 12:00,12,745.7,758.2,33,从西南方吹来的风,7,,,,无明显的云,10.0 大于等于,-4,12:00,26.04.2023
26.04.2023 11:00,12,746.5,759,38,从西南偏西方向吹来的风,6,,,,无明显的云,10.0 大于等于,-2,11:00,26.04.2023
26.04.2023 10:00,10,747.1,759.7,47,从西南方吹来的风,5,,,,无明显的云,10.0 大于等于,-1,10:00,26.04.2023
26.04.2023 09:00,8,747,759.7,62,从西南偏西方向吹来的风,4,,,,无明显的云,10.0 大于等于,1,9:00,26.04.2023
26.04.2023 08:00,6,746.9,759.7,71,从西南偏西方向吹来的风,3,,,,无明显的云,10.0 大于等于,1,8:00,26.04.2023
26.04.2023 07:00,3,746.7,759.7,87,从西南偏南方向吹来的风,2,,,,无明显的云,10.0 大于等于,1,7:00,26.04.2023
26.04.2023 06:00,-2,746.5,759.7,100,从西南偏南方向吹来的风,1,,,,无明显的云,8,-2,6:00,26.04.2023
26.04.2023 05:00,-5,745.7,759,100,从南方吹来的风,1,,,,无明显的云,6,-5,5:00,26.04.2023
26.04.2023 04:00,-3,746.5,759.7,100,从西南偏南方向吹来的风,2,,轻雾,,无明显的云,2,-3,4:00,26.04.2023
26.04.2023 03:00,-2,745.8,759,100,从西南方吹来的风,1,,轻雾,,无明显的云,5,-2,3:00,26.04.2023
26.04.2023 02:00,-2,745.8,759,100,风向多变,1,,,,无明显的云,6,-2,2:00,26.04.2023
26.04.2023 01:00,0,745.9,759,100,从西北偏西方向吹来的风,3,,,,无明显的云,10.0 大于等于,0,1:00,26.04.2023
26.04.2023 00:00,0,745.1,758.2,100,从西方吹来的风,2,,,,无明显的云,10.0 大于等于,0,0:00,26.04.2023
25.04.2023 23:00,0,745.1,758.2,93,从西方吹来的风,2,,,,无明显的云,10.0 大于等于,-1,23:00,25.04.2023
25.04.2023 22:00,1,745.2,758.2,100,从西北偏西方向吹来的风,2,,,,无明显的云,10.0 大于等于,1,22:00,25.04.2023
25.04.2023 21:00,2,745.2,758.2,93,从西北方吹来的风,2,,,,无明显的云,10.0 大于等于,1,21:00,25.04.2023
25.04.2023 20:00,2,745.2,758.2,93,从西北方吹来的风,2,,,,无明显的云,10.0 大于等于,1,20:00,25.04.2023
25.04.2023 19:00,3,744.8,757.7,93,从北方吹来的风,1,,,,无明显的云,10.0 大于等于,2,19:00,25.04.2023
25.04.2023 18:00,2,744,756.9,100,从东北方吹来的风,3,,,,疏云 (40-50%) 990 米,10.0 大于等于,2,18:00,25.04.2023
25.04.2023 17:00,2,744,756.9,93,从东北偏东方向吹来的风,4,,"轻度（小）（弱） 雨, 雪",,"疏云 (40-50%) 180 米, 多云 (60-90%) 690 米, 阴天 (100%) 1200 米",10.0 大于等于,1,17:00,25.04.2023
25.04.2023 16:00,2,744,756.9,100,从东北偏北方向吹来的风,6,,"轻度（小）（弱） 雨, 雪",,"疏云 (40-50%) 180 米, 阴天 (100%) 690 米",8,2,16:00,25.04.2023
25.04.2023 15:00,2,743.3,756.2,93,从东北偏北方向吹来的风,9,,"轻度（小）（弱） 雨, 雪",,"疏云 (40-50%) 300 米, 阴天 (100%) 690 米",10.0 大于等于,1,15:00,25.04.2023
25.04.2023 14:00,3,743.3,756.2,93,从北方吹来的风,8,14,"轻度（小）（弱） 雨, 雪",,"疏云 (40-50%) 300 米, 阴天 (100%) 690 米",10.0 大于等于,2,14:00,25.04.2023
25.04.2023 13:00,4,743.4,756.2,81,从北方吹来的风,9,,,,多云 (60-90%) 600 米,10.0 大于等于,1,13:00,25.04.2023
25.04.2023 12:00,7,742.7,755.4,66,从北方吹来的风,10,,,,疏云 (40-50%) 690 米,10.0 大于等于,1,12:00,25.04.2023
25.04.2023 11:00,9,742,754.6,62,从北方吹来的风,8,,,,疏云 (40-50%) 1380 米,8,2,11:00,25.04.2023
25.04.2023 10:00,12,741.5,753.9,35,从西北方吹来的风,6,,,,疏云 (40-50%) 1380 米,8,-3,10:00,25.04.2023
25.04.2023 09:00,13,741.5,753.9,38,从西南偏西方向吹来的风,8,,,,疏云 (40-50%) 1380 米,8,-1,9:00,25.04.2023
25.04.2023 08:00,12,742.1,754.6,33,从西南偏南方向吹来的风,5,,,,疏云 (40-50%) 1380 米,8,-4,8:00,25.04.2023
25.04.2023 07:00,10,742.1,754.6,32,从西南方吹来的风,4,,,,疏云 (40-50%) 1380 米,10.0 大于等于,-6,7:00,25.04.2023
25.04.2023 06:00,10,742.1,754.6,28,从南方吹来的风,6,,轻度（小）（弱） 雨,,无明显的云,10.0 大于等于,-8,6:00,25.04.2023
25.04.2023 05:00,11,742.1,754.6,26,从南方吹来的风,7,,,,无明显的云,10.0 大于等于,-8,5:00,25.04.2023
25.04.2023 04:00,10,743.6,756.2,24,从南方吹来的风,7,12,,,无明显的云,10.0 大于等于,-10,4:00,25.04.2023
25.04.2023 03:00,9,744.3,756.9,25,从南方吹来的风,6,,,,无明显的云,10.0 大于等于,-10,3:00,25.04.2023
25.04.2023 02:00,8,745.5,758.2,27,从南方吹来的风,4,,,,无明显的云,10.0 大于等于,-10,2:00,25.04.2023
25.04.2023 01:00,9,746.3,759,25,从南方吹来的风,4,,,,无明显的云,10.0 大于等于,-10,1:00,25.04.2023
25.04.2023 00:00,9,747,759.7,25,从西南偏南方向吹来的风,5,,,,无明显的云,10.0 大于等于,-10,0:00,25.04.2023
24.04.2023 23:00,9,747,759.7,25,从西南偏南方向吹来的风,6,,,,无明显的云,10.0 大于等于,-10,23:00,24.04.2023
24.04.2023 22:00,9,747.8,760.5,21,从南方吹来的风,5,,,,无明显的云,10.0 大于等于,-12,22:00,24.04.2023
24.04.2023 21:00,8,748.5,761.2,23,从南方吹来的风,3,,,,无明显的云,10.0 大于等于,-12,21:00,24.04.2023
24.04.2023 20:00,8,749.2,762,23,从东南偏南方向吹来的风,3,,,,无明显的云,10.0 大于等于,-12,20:00,24.04.2023
24.04.2023 19:00,10,750.1,762.8,20,从南方吹来的风,2,,,,无明显的云,10.0 大于等于,-12,19:00,24.04.2023
24.04.2023 18:00,13,750.2,762.8,16,从西南偏西方向吹来的风,3,,,,无明显的云,10.0 大于等于,-12,18:00,24.04.2023
24.04.2023 17:00,14,751,763.5,14,从西方吹来的风,5,,,,无明显的云,10.0 大于等于,-13,17:00,24.04.2023
24.04.2023 16:00,15,751,763.5,14,从西南偏西方向吹来的风,7,,,,无明显的云,10.0 大于等于,-12,16:00,24.04.2023
24.04.2023 15:00,15,751.8,764.3,13,从西方吹来的风,6,,,,无明显的云,10.0 大于等于,-13,15:00,24.04.2023
24.04.2023 14:00,15,752.5,765,13,从西北方吹来的风,4,,,,无明显的云,10.0 大于等于,-13,14:00,24.04.2023
24.04.2023 13:00,15,753.3,765.8,13,从西北方吹来的风,6,,,,无明显的云,10.0 大于等于,-13,13:00,24.04.2023
24.04.2023 12:00,14,754,766.6,14,从西南偏西方向吹来的风,7,,,,无明显的云,10.0 大于等于,-13,12:00,24.04.2023
24.04.2023 11:00,14,754.7,767.3,14,从西方吹来的风,6,,,,无明显的云,10.0 大于等于,-13,11:00,24.04.2023
24.04.2023 10:00,13,755.5,768.1,18,从西方吹来的风,6,,,,无明显的云,10.0 大于等于,-11,10:00,24.04.2023
24.04.2023 09:00,11,756.2,768.9,22,从西南偏西方向吹来的风,6,,,,无明显的云,10.0 大于等于,-10,9:00,24.04.2023
24.04.2023 08:00,8,756,768.9,23,从西南偏西方向吹来的风,7,,,,无明显的云,10.0 大于等于,-12,8:00,24.04.2023
24.04.2023 07:00,6,756.6,769.6,26,从西南偏西方向吹来的风,5,,,,无明显的云,10.0 大于等于,-12,7:00,24.04.2023
24.04.2023 06:00,2,756.4,769.6,35,从西南方吹来的风,4,,,,无明显的云,10.0 大于等于,-12,6:00,24.04.2023
24.04.2023 05:00,-1,756.3,769.6,47,从西南方吹来的风,3,,,,无明显的云,10.0 大于等于,-11,5:00,24.04.2023
24.04.2023 04:00,-2,756.2,769.6,51,从西南方吹来的风,3,,,,无明显的云,10.0 大于等于,-11,4:00,24.04.2023
24.04.2023 03:00,0,756.3,769.6,47,从西南偏西方向吹来的风,3,,,,无明显的云,10.0 大于等于,-10,3:00,24.04.2023
24.04.2023 02:00,2,756.4,769.6,35,从西南偏西方向吹来的风,4,,,,无明显的云,10.0 大于等于,-12,2:00,24.04.2023
24.04.2023 01:00,2,757.2,770.4,32,从西南偏西方向吹来的风,5,,,,无明显的云,10.0 大于等于,-13,1:00,24.04.2023
24.04.2023 00:00,1,757.2,770.4,38,从西南偏西方向吹来的风,4,,,,无明显的云,10.0 大于等于,-12,0:00,24.04.2023
