气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,重要天象,时间,date
5,743.4,756.2,66,5,,,2:00,2023/4/27
5,743.4,756.2,66,4,,,1:00,2023/4/27
6,744.1,756.9,61,4,,,0:00,2023/4/27
6,744.1,756.9,61,5,,,23:00,2023/4/26
8,744.2,756.9,53,5,,,22:00,2023/4/26
8,744.2,756.9,53,5,,,21:00,2023/4/26
8,744.2,756.9,50,5,,,20:00,2023/4/26
9,744.3,756.9,43,5,,,19:00,2023/4/26
11,744.4,756.9,41,8,,,18:00,2023/4/26
13,743.8,756.2,36,9,,,17:00,2023/4/26
13,744.4,756.9,33,9,,,16:00,2023/4/26
13,744.4,756.9,33,9,,,15:00,2023/4/26
14,745.3,757.7,27,9,,,14:00,2023/4/26
13,745.7,758.2,33,9,,,13:00,2023/4/26
12,745.7,758.2,33,7,,,12:00,2023/4/26
12,746.5,759,38,6,,,11:00,2023/4/26
10,747.1,759.7,47,5,,,10:00,2023/4/26
8,747,759.7,62,4,,,9:00,2023/4/26
6,746.9,759.7,71,3,,,8:00,2023/4/26
3,746.7,759.7,87,2,,,7:00,2023/4/26
-2,746.5,759.7,100,1,,,6:00,2023/4/26
-5,745.7,759,100,1,,,5:00,2023/4/26
-3,746.5,759.7,100,2,轻雾,,4:00,2023/4/26
-2,745.8,759,100,1,轻雾,,3:00,2023/4/26
-2,745.8,759,100,1,,,2:00,2023/4/26
0,745.9,759,100,3,,,1:00,2023/4/26
0,745.1,758.2,100,2,,,0:00,2023/4/26
0,745.1,758.2,93,2,,,23:00,2023/4/25
1,745.2,758.2,100,2,,,22:00,2023/4/25
2,745.2,758.2,93,2,,,21:00,2023/4/25
2,745.2,758.2,93,2,,,20:00,2023/4/25
3,744.8,757.7,93,1,,,19:00,2023/4/25
2,744,756.9,100,3,,,18:00,2023/4/25
2,744,756.9,93,4,"轻度（小）（弱） 雨, 雪",,17:00,2023/4/25
2,744,756.9,100,6,"轻度（小）（弱） 雨, 雪",,16:00,2023/4/25
2,743.3,756.2,93,9,"轻度（小）（弱） 雨, 雪",,15:00,2023/4/25
3,743.3,756.2,93,8,"轻度（小）（弱） 雨, 雪",,14:00,2023/4/25
4,743.4,756.2,81,9,,,13:00,2023/4/25
7,742.7,755.4,66,10,,,12:00,2023/4/25
9,742,754.6,62,8,,,11:00,2023/4/25
12,741.5,753.9,35,6,,,10:00,2023/4/25
13,741.5,753.9,38,8,,,9:00,2023/4/25
12,742.1,754.6,33,5,,,8:00,2023/4/25
10,742.1,754.6,32,4,,,7:00,2023/4/25
10,742.1,754.6,28,6,轻度（小）（弱） 雨,,6:00,2023/4/25
11,742.1,754.6,26,7,,,5:00,2023/4/25
10,743.6,756.2,24,7,,,4:00,2023/4/25
9,744.3,756.9,25,6,,,3:00,2023/4/25
8,745.5,758.2,27,4,,,2:00,2023/4/25
9,746.3,759,25,4,,,1:00,2023/4/25
9,747,759.7,25,5,,,0:00,2023/4/25
9,747,759.7,25,6,,,23:00,2023/4/24
9,747.8,760.5,21,5,,,22:00,2023/4/24
8,748.5,761.2,23,3,,,21:00,2023/4/24
8,749.2,762,23,3,,,20:00,2023/4/24
10,750.1,762.8,20,2,,,19:00,2023/4/24
13,750.2,762.8,16,3,,,18:00,2023/4/24
14,751,763.5,14,5,,,17:00,2023/4/24
15,751,763.5,14,7,,,16:00,2023/4/24
15,751.8,764.3,13,6,,,15:00,2023/4/24
15,752.5,765,13,4,,,14:00,2023/4/24
15,753.3,765.8,13,6,,,13:00,2023/4/24
14,754,766.6,14,7,,,12:00,2023/4/24
14,754.7,767.3,14,6,,,11:00,2023/4/24
13,755.5,768.1,18,6,,,10:00,2023/4/24
11,756.2,768.9,22,6,,,9:00,2023/4/24
8,756,768.9,23,7,,,8:00,2023/4/24
6,756.6,769.6,26,5,,,7:00,2023/4/24
2,756.4,769.6,35,4,,,6:00,2023/4/24
-1,756.3,769.6,47,3,,,5:00,2023/4/24
-2,756.2,769.6,51,3,,,4:00,2023/4/24
0,756.3,769.6,47,3,,,3:00,2023/4/24
2,756.4,769.6,35,4,,,2:00,2023/4/24
2,757.2,770.4,32,5,,,1:00,2023/4/24
1,757.2,770.4,38,4,,,0:00,2023/4/24
1,757.2,770.4,35,4,,,23:00,2023/4/23
2,757.2,770.4,35,4,,,22:00,2023/4/23
2,757.2,770.4,32,4,,,21:00,2023/4/23
6,757.4,770.4,24,3,,,20:00,2023/4/23
7,757.5,770.4,23,3,,,19:00,2023/4/23
9,756.8,769.6,18,4,,,18:00,2023/4/23
10,756.8,769.6,16,6,,,17:00,2023/4/23
11,756.8,769.6,16,7,,,16:00,2023/4/23
10,757.6,770.4,19,7,,,15:00,2023/4/23
10,757.6,770.4,17,7,,,14:00,2023/4/23
11,758.3,771.1,17,7,,,13:00,2023/4/23
10,758.3,771.1,19,8,,,12:00,2023/4/23
9,759,771.9,21,9,,,11:00,2023/4/23
9,759,771.9,23,9,,,10:00,2023/4/23
7,758.9,771.9,31,7,,,9:00,2023/4/23
6,758.9,771.9,36,6,,,8:00,2023/4/23
4,758.8,771.9,42,5,,,7:00,2023/4/23
2,757.9,771.1,48,3,,,6:00,2023/4/23
0,757.8,771.1,47,3,,,5:00,2023/4/23
1,757.2,770.4,44,4,,,4:00,2023/4/23
1,757.2,770.4,44,3,,,3:00,2023/4/23
2,757.2,770.4,44,3,,,2:00,2023/4/23
2,756.4,769.6,41,4,,,1:00,2023/4/23
2,756.4,769.6,41,3,,,0:00,2023/4/23
3,756.5,769.6,35,3,,,23:00,2023/4/22
4,756.5,769.6,33,3,,,22:00,2023/4/22
5,755.9,768.9,33,2,,,21:00,2023/4/22
6,755.9,768.9,29,1,,,20:00,2023/4/22
7,755.2,768.1,27,3,,,19:00,2023/4/22
8,755.2,768.1,25,5,,,18:00,2023/4/22
9,755.3,768.1,21,7,,,17:00,2023/4/22
10,754.5,767.3,20,8,,,16:00,2023/4/22
11,754.6,767.3,17,7,,,15:00,2023/4/22
10,754.5,767.3,17,9,,,14:00,2023/4/22
11,754.6,767.3,16,8,,,13:00,2023/4/22
11,755.4,768.1,17,7,,,12:00,2023/4/22
10,755.3,768.1,19,8,,,11:00,2023/4/22
9,756.1,768.9,21,6,,,10:00,2023/4/22
8,756,768.9,34,5,,,9:00,2023/4/22
6,755.9,768.9,39,4,,,8:00,2023/4/22
4,755.1,768.1,45,3,,,7:00,2023/4/22
1,754.9,768.1,48,3,,,6:00,2023/4/22
-3,754.7,768.1,59,3,,,5:00,2023/4/22
-2,754,767.3,55,1,,,4:00,2023/4/22
-2,753.3,766.6,55,1,,,3:00,2023/4/22
1,753.4,766.6,41,4,,,2:00,2023/4/22
1,753.4,766.6,41,3,,,1:00,2023/4/22
2,752.7,765.8,38,3,,,0:00,2023/4/22
2,752.7,765.8,38,4,,,23:00,2023/4/21
4,752,765,36,2,,,22:00,2023/4/21
5,752.1,765,31,2,,,21:00,2023/4/21
6,752.1,765,29,3,,,20:00,2023/4/21
7,750.7,763.5,27,4,,,19:00,2023/4/21
8,750.7,763.5,18,6,,,18:00,2023/4/21
9,750.1,762.8,13,8,,,17:00,2023/4/21
10,750.1,762.8,10,9,,,16:00,2023/4/21
10,750.1,762.8,17,9,,,15:00,2023/4/21
10,750.1,762.8,22,9,,,14:00,2023/4/21
10,750.1,762.8,20,9,,,13:00,2023/4/21
10,750.1,762.8,22,9,,,12:00,2023/4/21
8,750.7,763.5,25,9,,,11:00,2023/4/21
7,750.7,763.5,31,8,,,10:00,2023/4/21
6,750.6,763.5,34,8,,,9:00,2023/4/21
4,750.5,763.5,39,9,,,8:00,2023/4/21
3,749.8,762.8,38,9,,,7:00,2023/4/21
2,749.7,762.8,35,6,,,6:00,2023/4/21
0,748.9,762,47,6,,,5:00,2023/4/21
1,748.1,761.2,38,9,,,4:00,2023/4/21
2,747.5,760.5,23,9,,,3:00,2023/4/21
1,747.4,760.5,38,6,,,2:00,2023/4/21
2,747.5,760.5,30,4,,,1:00,2023/4/21
3,747.5,760.5,26,6,,,0:00,2023/4/21
4,746.8,759.7,24,5,,,23:00,2023/4/20
6,746.9,759.7,19,6,,,22:00,2023/4/20
6,746.2,759,22,7,,,21:00,2023/4/20
7,745.5,758.2,18,8,,,20:00,2023/4/20
8,745,757.7,18,6,,,19:00,2023/4/20
9,743.6,756.2,15,8,,,18:00,2023/4/20
10,743.6,756.2,14,10,,,17:00,2023/4/20
10,742.8,755.4,12,11,,,16:00,2023/4/20
11,742.1,754.6,10,11,沙,,15:00,2023/4/20
11,741.4,753.9,10,14,沙,,14:00,2023/4/20
11,741.4,753.9,12,15,沙,,13:00,2023/4/20
11,741.4,753.9,12,13,沙,,12:00,2023/4/20
9,742,754.6,15,13,沙,,11:00,2023/4/20
10,741.4,753.9,24,14,沙,,10:00,2023/4/20
10,742.1,754.6,32,12,,,9:00,2023/4/20
9,741.3,753.9,32,12,,,8:00,2023/4/20
9,741.3,753.9,32,11,,,7:00,2023/4/20
9,741.3,753.9,34,8,,,6:00,2023/4/20
8,740.5,753.1,40,8,,,5:00,2023/4/20
9,738.3,750.8,46,8,,,4:00,2023/4/20
10,736.8,749.3,54,8,,,3:00,2023/4/20
11,736.1,748.5,50,6,,,2:00,2023/4/20
11,735.4,747.8,58,5,,,1:00,2023/4/20
12,734.7,747,54,5,,,0:00,2023/4/20
18,733.4,745.5,32,7,,,23:00,2023/4/19
16,733.4,745.5,39,5,,,22:00,2023/4/19
13,734,746.3,47,4,,,21:00,2023/4/19
13,734.7,747,44,2,,,20:00,2023/4/19
13,734.7,747,44,2,,,19:00,2023/4/19
16,735.6,747.8,36,4,,,18:00,2023/4/19
17,735.7,747.8,37,4,,,17:00,2023/4/19
18,736.4,748.5,34,3,,,16:00,2023/4/19
17,736.4,748.5,34,4,,,15:00,2023/4/19
17,737.1,749.3,32,4,,,14:00,2023/4/19
16,737.9,750.1,31,5,,,13:00,2023/4/19
15,739.3,751.6,31,5,,,12:00,2023/4/19
14,740,752.3,31,5,,,11:00,2023/4/19
13,740.7,753.1,31,6,,,10:00,2023/4/19
11,741.4,753.9,35,5,,,9:00,2023/4/19
10,742.1,754.6,40,5,,,8:00,2023/4/19
8,742,754.6,50,5,,,7:00,2023/4/19
5,742.6,755.4,66,5,,,6:00,2023/4/19
4,744,756.9,65,4,,,5:00,2023/4/19
4,744,756.9,75,2,,,4:00,2023/4/19
4,744,756.9,70,2,,,3:00,2023/4/19
4,744,756.9,75,3,,,2:00,2023/4/19
5,744.1,756.9,70,2,,,1:00,2023/4/19
6,744.9,757.7,66,3,,,0:00,2023/4/19
2,744.7,757.7,75,2,,,23:00,2023/4/18
3,744.8,757.7,65,1,,,22:00,2023/4/18
6,744.9,757.7,66,2,,,21:00,2023/4/18
7,745,757.7,42,1,,,20:00,2023/4/18
11,744.4,756.9,28,3,,,19:00,2023/4/18
13,743.8,756.2,24,5,,,18:00,2023/4/18
14,743,755.4,25,7,,,17:00,2023/4/18
15,743.1,755.4,25,9,,,16:00,2023/4/18
15,742.3,754.6,29,9,,,15:00,2023/4/18
14,741.5,753.9,31,10,,,14:00,2023/4/18
13,741.5,753.9,36,9,,,13:00,2023/4/18
11,740.6,753.1,44,8,,,12:00,2023/4/18
9,741.3,753.9,54,8,,,11:00,2023/4/18
10,740.6,753.1,47,10,,,10:00,2023/4/18
10,739.8,752.3,62,9,,,9:00,2023/4/18
9,739.1,751.6,66,9,,,8:00,2023/4/18
8,739,751.6,82,6,,,7:00,2023/4/18
7,739,751.6,87,5,轻度（小）（弱） 雨,,6:00,2023/4/18
7,739.7,752.3,87,5,轻度（小）（弱） 雨,,5:00,2023/4/18
9,739.7,752.3,62,6,轻度（小）（弱） 雨,,4:00,2023/4/18
10,740.6,753.1,54,7,,,3:00,2023/4/18
9,741.3,753.9,58,5,,,2:00,2023/4/18
9,742,754.6,58,4,,,1:00,2023/4/18
10,742.8,755.4,54,5,,,0:00,2023/4/18
11,743.7,756.2,47,5,,,23:00,2023/4/17
12,743.7,756.2,41,5,,,22:00,2023/4/17
11,744.4,756.9,41,3,,,21:00,2023/4/17
11,744.4,756.9,41,2,,,20:00,2023/4/17
12,743.7,756.2,38,3,,,19:00,2023/4/17
14,743.8,756.2,33,3,,,18:00,2023/4/17
16,743.9,756.2,27,3,,,17:00,2023/4/17
17,743.9,756.2,25,4,,,16:00,2023/4/17
16,743.9,756.2,27,4,,,15:00,2023/4/17
17,744.6,756.9,27,4,,,14:00,2023/4/17
17,744.6,756.9,27,5,,,13:00,2023/4/17
16,745.4,757.7,39,4,,,12:00,2023/4/17
15,745.8,758.2,42,4,,,11:00,2023/4/17
13,745.7,758.2,44,5,,,10:00,2023/4/17
11,745.6,758.2,47,6,,,9:00,2023/4/17
8,745.5,758.2,62,5,,,8:00,2023/4/17
6,745.4,758.2,66,5,,,7:00,2023/4/17
5,744.9,757.7,70,2,,,6:00,2023/4/17
3,744,756.9,70,3,,,5:00,2023/4/17
3,744,756.9,75,3,,,4:00,2023/4/17
3,744,756.9,75,2,,,3:00,2023/4/17
4,743.4,756.2,70,3,,,2:00,2023/4/17
3,743.3,756.2,75,2,,,1:00,2023/4/17
3,743.3,756.2,75,2,,,0:00,2023/4/17
4,743.4,756.2,70,2,,,23:00,2023/4/16
2,742.5,755.4,75,2,,,22:00,2023/4/16
4,742.6,755.4,75,2,,,21:00,2023/4/16
6,742.7,755.4,66,3,,,20:00,2023/4/16
8,742,754.6,62,4,,,19:00,2023/4/16
9,741.3,753.9,58,6,,,18:00,2023/4/16
12,740.7,753.1,47,7,,,17:00,2023/4/16
13,740.7,753.1,44,5,,,16:00,2023/4/16
13,739.9,752.3,44,7,,,15:00,2023/4/16
13,739.9,752.3,47,8,,,14:00,2023/4/16
13,739.9,752.3,47,5,,,13:00,2023/4/16
13,739.9,752.3,44,4,,,12:00,2023/4/16
12,739.9,752.3,47,5,,,11:00,2023/4/16
10,739.8,752.3,54,4,,,10:00,2023/4/16
10,740.6,753.1,50,3,,,9:00,2023/4/16
8,739.7,752.3,53,3,烟,,8:00,2023/4/16
4,739.5,752.3,65,3,烟,,6:00,2023/4/16
3,738.8,751.6,70,2,烟,,5:00,2023/4/16
-1,738.6,751.6,86,2,烟,,4:00,2023/4/16
0,738.6,751.6,75,2,烟,,3:00,2023/4/16
0,737.9,750.8,69,2,烟,,2:00,2023/4/16
1,737.9,750.8,70,2,烟,,1:00,2023/4/16
1,738.7,751.6,70,2,烟,,0:00,2023/4/16
4,738.8,751.6,65,2,,,23:00,2023/4/15
4,738.8,751.6,61,2,,,22:00,2023/4/15
5,738.9,751.6,57,3,,,21:00,2023/4/15
8,739,751.6,46,4,,,20:00,2023/4/15
9,739.1,751.6,43,5,,,19:00,2023/4/15
10,739.1,751.6,40,4,,,18:00,2023/4/15
13,739.2,751.6,28,5,,,17:00,2023/4/15
14,738.5,750.8,27,6,,,16:00,2023/4/15
14,739.3,751.6,27,5,,,15:00,2023/4/15
14,740,752.3,27,5,,,14:00,2023/4/15
13,740.7,753.1,31,6,,,13:00,2023/4/15
13,741.5,753.9,33,5,,,12:00,2023/4/15
12,742.1,754.6,35,6,,,11:00,2023/4/15
11,742.9,755.4,41,6,,,10:00,2023/4/15
9,742.8,755.4,50,6,,,9:00,2023/4/15
7,743.5,756.2,57,6,,,8:00,2023/4/15
4,743.4,756.2,70,5,,,7:00,2023/4/15
1,743.2,756.2,87,4,轻雾,,6:00,2023/4/15
-2,743.8,756.9,86,2,,,5:00,2023/4/15
-2,743.8,756.9,93,2,,,4:00,2023/4/15
-1,744.6,757.7,80,2,,,3:00,2023/4/15
0,745.1,758.2,75,2,,,2:00,2023/4/15
1,745.2,758.2,70,1,,,1:00,2023/4/15
0,745.9,759,80,2,,,0:00,2023/4/15
2,746,759,70,1,,,23:00,2023/4/14
3,746.1,759,65,2,,,22:00,2023/4/14
4,746.8,759.7,61,3,,,21:00,2023/4/14
6,746.9,759.7,53,4,,,20:00,2023/4/14
7,746.2,759,46,3,,,19:00,2023/4/14
9,746.3,759,37,3,,,18:00,2023/4/14
11,746.4,759,32,3,,,17:00,2023/4/14
12,747.2,759.7,30,3,,,16:00,2023/4/14
12,747.2,759.7,30,3,,,15:00,2023/4/14
13,747.2,759.7,28,4,,,14:00,2023/4/14
13,748,760.5,28,2,,,13:00,2023/4/14
12,748.6,761.2,30,2,,,12:00,2023/4/14
10,749.3,762,35,2,,,11:00,2023/4/14
9,749.3,762,37,3,,,10:00,2023/4/14
8,750,762.8,40,2,,,9:00,2023/4/14
6,749.9,762.8,46,1,,,8:00,2023/4/14
3,749.8,762.8,65,2,,,7:00,2023/4/14
-2,748.8,762,80,1,,,6:00,2023/4/14
-4,747.9,761.2,80,1,,,5:00,2023/4/14
-5,747.8,761.2,80,1,,,4:00,2023/4/14
-4,747.9,761.2,80,1,,,3:00,2023/4/14
-3,747.9,761.2,80,1,,,2:00,2023/4/14
-3,747.9,761.2,80,1,,,1:00,2023/4/14
0,748.1,761.2,64,1,,,0:00,2023/4/14
2,748.2,761.2,60,1,,,23:00,2023/4/13
4,748.3,761.2,52,2,,,22:00,2023/4/13
5,747.6,760.5,49,2,,,21:00,2023/4/13
6,746.9,759.7,49,2,,,20:00,2023/4/13
7,746.9,759.7,42,3,,,19:00,2023/4/13
9,746.3,759,37,5,,,18:00,2023/4/13
11,745.6,758.2,32,5,,,17:00,2023/4/13
11,745.1,757.7,32,6,,,16:00,2023/4/13
11,745.1,757.7,30,5,,,15:00,2023/4/13
11,745.1,757.7,32,5,,,14:00,2023/4/13
11,745.1,757.7,32,4,,,13:00,2023/4/13
11,745.1,757.7,30,5,,,12:00,2023/4/13
9,745.1,757.7,29,6,,,11:00,2023/4/13
9,745.1,757.7,34,5,,,10:00,2023/4/13
8,745,757.7,40,4,,,9:00,2023/4/13
5,744.9,757.7,53,3,,,8:00,2023/4/13
4,744,756.9,52,1,,,7:00,2023/4/13
0,743.2,756.2,80,1,,,6:00,2023/4/13
-2,743.1,756.2,86,2,,,5:00,2023/4/13
-2,743.1,756.2,74,1,,,4:00,2023/4/13
-3,743,756.2,74,2,,,3:00,2023/4/13
-1,743.1,756.2,64,2,,,2:00,2023/4/13
-3,742.2,755.4,59,0,,,1:00,2023/4/13
-2,742.3,755.4,51,2,,,0:00,2023/4/13
-1,742.3,755.4,47,1,,,23:00,2023/4/12
0,742.4,755.4,47,2,,,22:00,2023/4/12
4,741.8,754.6,33,2,,,21:00,2023/4/12
4,741.8,754.6,33,3,,,20:00,2023/4/12
4,741.1,753.9,33,4,,,19:00,2023/4/12
8,741.3,753.9,25,4,,,18:00,2023/4/12
10,740.6,753.1,20,6,,,17:00,2023/4/12
10,740.6,753.1,22,9,,,16:00,2023/4/12
10,740.6,753.1,22,9,,,15:00,2023/4/12
10,740.6,753.1,24,9,,,14:00,2023/4/12
9,740.5,753.1,27,10,,,13:00,2023/4/12
8,740.5,753.1,32,8,,,12:00,2023/4/12
7,739.7,752.3,37,9,,,11:00,2023/4/12
6,739.6,752.3,36,8,,,10:00,2023/4/12
5,738.9,751.6,39,7,,,9:00,2023/4/12
4,738.8,751.6,42,8,,,8:00,2023/4/12
2,738,750.8,44,8,,,7:00,2023/4/12
0,737.9,750.8,51,5,,,6:00,2023/4/12
1,737.2,750.1,48,6,,,5:00,2023/4/12
0,737.9,750.8,51,5,,,4:00,2023/4/12
1,737.2,750.1,44,6,,,3:00,2023/4/12
1,737.2,750.1,48,5,尘,,2:00,2023/4/12
2,737.3,750.1,44,6,尘,,1:00,2023/4/12
2,737.3,750.1,48,5,,,0:00,2023/4/12
1,737.2,750.1,51,6,,,23:00,2023/4/11
2,737.3,750.1,44,6,,,22:00,2023/4/11
2,738,750.8,48,8,,,21:00,2023/4/11
3,737.3,750.1,41,9,,,20:00,2023/4/11
2,737.3,750.1,44,6,,,19:00,2023/4/11
2,737.3,750.1,56,5,,,18:00,2023/4/11
3,737.3,750.1,52,8,,,17:00,2023/4/11
1,736.4,749.3,75,11,"轻度（小）（弱） 雨, 雪",,16:00,2023/4/11
1,735.6,748.5,93,10,"轻度（小）（弱） 雨, 雪",,15:00,2023/4/11
2,735,747.8,81,13,"轻度（小）（弱） 雨, 雪",,14:00,2023/4/11
9,732.3,744.7,34,6,,,13:00,2023/4/11
9,732.3,744.7,34,6,,,12:00,2023/4/11
11,733.1,745.5,26,7,,,11:00,2023/4/11
11,733.1,745.5,41,8,,,10:00,2023/4/11
8,733.8,746.3,53,1,,,9:00,2023/4/11
9,733.8,746.3,46,6,尘,,8:00,2023/4/11
9,733.8,746.3,46,3,尘,,7:00,2023/4/11
8,733,745.5,53,4,霾,,6:00,2023/4/11
9,732.3,744.7,50,4,霾,,5:00,2023/4/11
9,732.3,744.7,58,5,轻度（小）（弱） 雨,雷暴,4:00,2023/4/11
10,731.6,744,82,8,"轻度（小）（弱） 雷暴, 雨",,3:00,2023/4/11
12,731.7,744,72,3,,,2:00,2023/4/11
12,732.4,744.7,72,4,,,1:00,2023/4/11
12,733.2,745.5,77,5,,,0:00,2023/4/11
