,交易额,交易时间,商户名称,交易日期,具体时间,节假日,气温,气象站大气压,海平面大气压,相对湿度,平均风速,特殊天象,时间戳,Mealtime_N,Mealtime_A,Mealtime_E,Eight
20,7.92,2022/11/22 17:38,阳光副食二组,2022-11-22,17:38,0,-5,753.8,767.3,74,2,0,1669109880.0,0,0,0,0
21,9.9,2022/11/22 12:06,回味斋一餐厅副食一组,2022-11-22,12:06,0,0,755.6,768.9,55,2,0,1669089960.0,0,0,0,0
22,17.4,2022/11/21 18:12,民族餐厅旋转小火锅,2022-11-21,18:12,0,-4,754.7,768.1,54,3,0,1669025520.0,1,0,0,0
23,1.0,2022/11/21 17:47,民族餐厅真味主题烧烤吧,2022-11-21,17:47,0,-4,754.7,768.1,54,3,0,1669024020.0,1,0,0,0
24,2.0,2022/11/21 17:21,民族餐厅旋转小火锅,2022-11-21,17:21,0,-5,754.6,768.1,58,3,0,1669022460.0,1,0,0,0
25,5.4,2022/11/21 11:52,一区饺子园凉菜组,2022-11-21,11:52,0,-2,754.8,768.1,43,4,0,1669002720.0,1,0,0,0
26,2.6,2022/11/21 09:06,百味佳副食一组,2022-11-21,09:06,0,-5,754.6,768.1,63,2,0,1668992760.0,1,0,0,0
27,19.0,2022/11/20 17:25,民族餐厅金家店,2022-11-20,17:25,1,-4,751.6,765.0,59,4,0,1668936300.0,-1,-1,-1,-1
28,16.0,2022/11/20 12:14,阳光广式猪脚饭,2022-11-20,12:14,1,1,751.2,764.3,41,8,0,1668917640.0,-1,-1,-1,-1
29,9.84,2022/11/19 17:24,学子副食一组,2022-11-19,17:24,1,5,745.4,758.2,87,7,0,1668849840.0,-1,-1,-1,-1
30,5.4,2022/11/19 11:41,一区饺子园凉菜组,2022-11-19,11:41,1,5,747.6,760.5,57,7,0,1668829260.0,-1,-1,-1,-1
31,3.1,2022/11/19 08:43,学苑食堂副食三组,2022-11-19,08:43,1,2,749.7,762.8,60,6,0,1668818580.0,-1,-1,-1,-1
32,14.16,2022/11/18 17:43,阳光副食二组,2022-11-18,17:43,0,-1,758.5,771.9,86,2,0,1668764580.0,0,0,0,0
33,8.0,2022/11/18 11:31,学苑食堂重庆小面,2022-11-18,11:31,0,5,758.0,771.1,53,3,0,1668742260.0,0,0,0,0
34,2.1,2022/11/18 08:43,学苑食堂副食三组,2022-11-18,08:43,0,1,757.9,771.1,75,3,0,1668732180.0,0,0,0,0
35,13.92,2022/11/17 17:21,阳光副食二组,2022-11-17,17:21,0,2,748.2,761.2,81,4,0,1668676860.0,0,0,0,0
36,9.1,2022/11/17 11:57,学苑食堂副食三组,2022-11-17,11:57,0,3,749.0,762.0,65,5,0,1668657420.0,0,0,0,0
37,12.0,2022/11/16 17:04,美食林阿咪酱骨扒肉,2022-11-16,17:04,0,-2,748.8,762.0,80,3,0,1668589440.0,1,0,0,0
38,16.0,2022/11/16 11:55,阳光广式猪脚饭,2022-11-16,11:55,0,2,748.2,761.2,60,3,0,1668570900.0,1,0,0,0
39,12.96,2022/11/15 17:15,阳光副食二组,2022-11-15,17:15,0,-5,747.2,760.5,93,2,1,1668503700.0,0,0,0,0
40,5.4,2022/11/15 11:35,一区饺子园凉菜组,2022-11-15,11:35,0,-1,747.3,760.5,80,4,0,1668483300.0,0,0,0,0
41,3.1,2022/11/15 08:26,学苑食堂副食三组,2022-11-15,08:26,0,-10,748.4,762.0,100,2,1,1668471960.0,0,0,0,0
42,7.2,2022/11/14 18:04,一区饺子园凉菜组,2022-11-14,18:04,0,-5,747.2,760.5,86,2,1,1668420240.0,1,0,0,0
43,7.0,2022/11/14 11:49,一区饺子园主食一组,2022-11-14,11:49,0,-3,747.3,760.5,69,4,0,1668397740.0,1,0,0,0
44,5.0,2022/11/13 17:40,回味斋一餐厅副食一组,2022-11-13,17:40,1,-5,754.6,768.1,74,3,0,1668332400.0,-1,-1,-1,-1
45,16.0,2022/11/12 17:45,阳光广式猪脚饭,2022-11-12,17:45,1,-1,754.0,767.3,59,6,0,1668246300.0,-1,-1,-1,-1
46,8.0,2022/11/11 17:44,学苑食堂副食三组,2022-11-11,17:44,0,8,750.7,763.5,82,5,1,1668159840.0,0,0,0,0
47,9.6,2022/11/11 12:09,阳光副食二组,2022-11-11,12:09,0,9,749.3,762.0,94,6,1,1668139740.0,0,0,0,0
48,2.5,2022/11/11 08:00,百味佳副食一组,2022-11-11,08:00,0,4,752.0,765.0,75,4,1,1668124800.0,0,0,0,0
49,10.9,2022/11/10 17:08,阳光副食二组,2022-11-10,17:08,0,1,757.2,770.4,44,2,0,1668071280.0,1,0,0,0
50,7.2,2022/11/10 11:17,一区饺子园凉菜组,2022-11-10,11:17,0,6,758.1,771.1,39,3,0,1668050220.0,1,0,0,0
51,2.25,2022/11/10 07:57,百味佳副食一组,2022-11-10,07:57,0,0,757.1,770.4,80,1,1,1668038220.0,1,0,0,0
52,14.16,2022/10/31 17:31,阳光副食二组,2022-10-31,17:31,0,6,749.1,762.0,66,5,0,1667208660.0,0,0,0,0
53,15.8,2022/10/31 11:54,美食林酸辣粉烤肉拌饭,2022-10-31,11:54,0,10,747.9,760.5,94,8,1,1667188440.0,0,0,0,0
54,3.1,2022/10/31 08:33,学苑食堂副食三组,2022-10-31,08:33,0,8,748.5,761.2,93,5,1,1667176380.0,0,0,0,0
55,9.0,2022/10/30 17:26,民族餐厅山西饸饹面,2022-10-30,17:26,1,9,753.8,766.6,50,3,0,1667121960.0,-1,-1,-1,-1
56,5.4,2022/10/30 11:35,一区饺子园凉菜组,2022-10-30,11:35,1,10,755.3,768.1,43,4,0,1667100900.0,-1,-1,-1,-1
57,3.1,2022/10/30 08:47,学苑食堂副食三组,2022-10-30,08:47,1,4,757.3,770.4,61,3,0,1667090820.0,-1,-1,-1,-1
58,28.2,2022/10/29 17:19,紫丁香餐吧机器人收银组,2022-10-29,17:19,1,3,759.5,772.7,56,1,0,1667035140.0,-1,-1,-1,-1
59,14.64,2022/10/29 11:37,阳光副食二组,2022-10-29,11:37,1,8,760.4,773.4,40,1,0,1667014620.0,-1,-1,-1,-1
60,34.8,2022/10/28 17:46,学苑食堂副食三组,2022-10-28,17:46,0,-1,760.5,773.9,69,0,0,1666950360.0,0,0,0,0
61,11.4,2022/10/27 17:19,百味佳副食一组,2022-10-27,17:19,0,3,761.5,774.7,52,3,0,1666862340.0,0,0,0,0
62,21.2,2022/10/27 11:55,紫丁香餐吧副食一组（中西套餐）,2022-10-27,11:55,0,5,761.6,774.7,49,6,0,1666842900.0,0,0,0,0
63,7.2,2022/10/26 17:37,一区饺子园凉菜组,2022-10-26,17:37,0,4,755.1,768.1,87,6,0,1666777020.0,1,0,0,0
64,5.0,2022/10/26 12:16,学苑食堂副食三组,2022-10-26,12:16,0,8,750.7,763.5,93,5,1,1666757760.0,1,0,0,0
65,13.0,2022/10/25 17:34,民族餐厅金家店,2022-10-25,17:34,0,10,750.1,762.8,54,3,0,1666690440.0,0,0,0,0
66,7.0,2022/10/25 12:06,学苑食堂副食三组,2022-10-25,12:06,0,13,751.7,764.3,44,7,0,1666670760.0,0,0,0,0
67,2.5,2022/10/25 07:45,百味佳副食一组,2022-10-25,07:45,0,3,754.2,767.3,65,5,0,1666655100.0,0,0,0,0
68,15.36,2022/10/24 17:19,阳光副食二组,2022-10-24,17:19,0,5,755.9,768.9,45,2,0,1666603140.0,1,0,0,0
69,7.0,2022/10/24 12:11,学苑食堂副食三组,2022-10-24,12:11,0,8,756.0,768.9,40,2,0,1666584660.0,1,0,0,0
70,12.24,2022/10/23 17:36,阳光副食二组,2022-10-23,17:36,1,5,753.6,766.6,49,4,0,1666517760.0,-1,-1,-1,-1
71,31.0,2022/10/23 11:30,紫丁香餐吧机器人收银组,2022-10-23,11:30,1,6,752.1,765.0,66,6,0,1666495800.0,-1,-1,-1,-1
72,17.28,2022/10/22 17:30,阳光副食二组,2022-10-22,17:30,1,3,753.5,766.6,56,1,0,1666431000.0,-1,-1,-1,-1
73,26.0,2022/10/22 12:00,美食林酸辣粉烤肉拌饭,2022-10-22,12:00,1,9,753.8,766.6,46,5,0,1666411200.0,-1,-1,-1,-1
74,10.85,2022/10/21 12:00,学苑食堂副食三组,2022-10-21,12:00,0,15,745.8,758.2,59,10,0,1666324800.0,0,0,0,0
75,14.69,2022/10/20 17:04,阳光副食二组,2022-10-20,17:04,0,13,749.5,762.0,67,2,0,1666256640.0,0,0,0,0
76,9.9,2022/10/20 11:56,回味斋一餐厅副食一组,2022-10-20,11:56,0,16,751.9,764.3,42,4,0,1666238160.0,0,0,0,0
77,13.49,2022/10/19 17:35,阳光副食二组,2022-10-19,17:35,0,10,747.9,760.5,43,4,0,1666172100.0,0,0,0,0
78,7.2,2022/10/19 12:25,一区饺子园凉菜组,2022-10-19,12:25,0,13,750.9,763.5,33,7,0,1666153500.0,0,0,0,0
79,2.85,2022/10/19 07:31,学苑食堂副食三组,2022-10-19,07:31,0,3,752.0,765.0,65,3,0,1666135860.0,0,0,0,0
80,13.68,2022/10/18 17:33,阳光副食二组,2022-10-18,17:33,0,4,752.8,765.8,45,3,0,1666085580.0,0,0,0,0
81,9.85,2022/10/18 11:57,学苑食堂副食三组,2022-10-18,11:57,0,8,753.0,765.8,40,3,0,1666065420.0,0,0,0,0
82,12.72,2022/10/17 17:19,阳光副食二组,2022-10-17,17:19,0,6,752.1,765.0,53,2,0,1665998340.0,1,0,0,0
83,8.0,2022/10/17 11:57,学苑食堂副食三组,2022-10-17,11:57,0,7,752.1,765.0,53,6,0,1665979020.0,1,0,0,0
84,15.41,2022/10/16 16:33,阳光副食二组,2022-10-16,16:33,1,9,750.8,763.5,40,6,0,1665909180.0,-1,-1,-1,-1
85,18.5,2022/10/16 11:43,回味斋一餐厅副食一组,2022-10-16,11:43,1,11,751.6,764.3,35,8,0,1665891780.0,-1,-1,-1,-1
86,16.32,2022/10/15 17:21,阳光副食二组,2022-10-15,17:21,1,13,750.9,763.5,36,2,0,1665825660.0,-1,-1,-1,-1
87,12.0,2022/10/14 17:34,美食林陕西刀削面(罐罐面),2022-10-14,17:34,0,11,749.4,762.0,82,2,1,1665740040.0,0,0,0,0
88,7.0,2022/10/14 11:54,学苑食堂副食三组,2022-10-14,11:54,0,11,751.6,764.3,94,3,1,1665719640.0,0,0,0,0
89,13.2,2022/10/13 17:05,阳光副食二组,2022-10-13,17:05,0,15,752.5,765.0,59,2,0,1665651900.0,0,0,0,0
90,15.8,2022/10/13 11:47,美食林酸辣粉烤肉拌饭,2022-10-13,11:47,0,18,752.6,765.0,52,7,0,1665632820.0,0,0,0,0
91,7.4,2022/10/12 17:31,回味斋一餐厅副食一组,2022-10-12,17:31,0,12,752.4,765.0,44,3,0,1665567060.0,0,0,0,0
92,7.2,2022/10/12 12:30,一区饺子园主食一组,2022-10-12,12:30,0,17,753.4,765.8,34,6,0,1665549000.0,0,0,0,0
93,13.78,2022/10/11 17:23,阳光副食二组,2022-10-11,17:23,0,11,751.6,764.3,44,5,0,1665480180.0,0,0,0,0
94,9.85,2022/10/11 12:00,学苑食堂副食三组,2022-10-11,12:00,0,13,750.9,763.5,36,5,0,1665460800.0,0,0,0,0
95,14.4,2022/10/10 17:39,回味斋一餐厅副食一组,2022-10-10,17:39,0,8,747.0,759.7,57,5,0,1665394740.0,0,0,0,0
96,15.0,2022/10/10 12:10,一区饺子园主食一组,2022-10-10,12:10,0,10,747.1,759.7,67,8,0,1665375000.0,0,0,0,0
97,2.5,2022/10/10 07:37,百味佳展销组,2022-10-10,07:37,0,5,748.3,761.2,100,7,0,1665358620.0,0,0,0,0
